primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first
d4l,2006,"""Laffy Taffy""","""d4l""",TRUE,1,Atlantic Records/Asylum,2005-11-08,Atlantic Records; Asylum,2000,TRUE,46,0,0,FALSE
e-40,2006,"""U and Dat""","[""e-40"",""t-pain"",""kandi girl""]",TRUE,1,Reprise,2006-03-14,Reprise,2000,FALSE,52,0,0,FALSE
nick lachey,2006,"""What's Left of Me""","""nick lachey""",TRUE,1,Jive,2006-01-01,Jive,2000,TRUE,54,0,0,FALSE
cherish,2006,"""Do It to It""","[""cherish"",""sean paul of the youngbloodz""]",TRUE,1,Capitol Records,2006-01-01,Capitol Records,2000,FALSE,56,0,0,FALSE
kt tunstall,2006,"""Black Horse and the Cherry Tree""","""kt tunstall""",TRUE,1,Relentless/Virgin,2005-01-01,Relentless; Virgin,2000,FALSE,57,0,0,FALSE
juelz santana,2006,"""There It Go (The Whistle Song)""","""juelz santana""",TRUE,1,Diplomatic Man/ Def Jam,2005-01-01,Diplomatic Man; Def Jam,2000,FALSE,58,0,0,FALSE
young dro,2006,"""Shoulder Lean""","[""young dro"",""t.i.""]",TRUE,1,Grand Hustle/Atlantic,2006-08-28,Grand Hustle; Atlantic,2000,FALSE,59,0,0,FALSE
jamie foxx,2006,"""Unpredictable""","[""jamie foxx"",""ludacris""]",TRUE,2,J Records,2005-12-20,J Records,2000,FALSE,60,1,1,TRUE
jibbs,2006,"""Chain Hang Low""","""jibbs""",TRUE,1,Geffen,2006-01-01,Geffen,2000,TRUE,65,0,0,FALSE
daddy yankee,2006,"""Rompe""","""daddy yankee""",TRUE,3,Interscope/El Cartel,2005-01-01,Interscope; El Cartel,2000,FALSE,74,2,1.4142135623730951,TRUE
danity kane,2006,"""Show Stopper""","[""danity kane"",""yung joc""]",TRUE,2,Bad Boy Records,2006-08-22,Bad Boy Records,2000,FALSE,79,1,1,TRUE
blue october,2006,"""Hate Me""","""blue october""",TRUE,1,Motown,2006-01-01,Motown,2000,FALSE,82,0,0,FALSE
three 6 mafia,2006,"""Stay Fly""","[""three 6 mafia"",""young buck"",""8ball"",""mjg""]",TRUE,2,Hypnotize Minds/Sony Urban Music/Columbia,2005-07-05,Hypnotize Minds; Sony Urban Music; Columbia,2000,FALSE,92,1,1,TRUE
keyshia cole,2006,"""Love""","""keyshia cole""",TRUE,4,A&M (UC),2005-01-01,A&M (UC),2000,FALSE,93,3,1.7320508075688772,TRUE
taylor hicks,2006,"""Do I Make You Proud""","""taylor hicks""",TRUE,1,Arista,2006-06-13,Arista,2000,FALSE,99,0,0,FALSE
teddy geiger,2006,"""For You I Will (Confidence)""","""teddy geiger""",TRUE,1,Ameritz Music Ltd,2012-07-26,Ameritz Music Ltd,2000,FALSE,100,0,0,FALSE
plain white t's,2007,"""Hey There Delilah""","""plain white t's""",TRUE,1,Fearless Records,2005-01-25,Fearless Records,2000,FALSE,7,0,0,FALSE
shop boyz,2007,"""Party Like a Rockstar""","""shop boyz""",TRUE,1,Universal (MT),2007-01-01,Universal (MT),2000,FALSE,14,0,0,FALSE
mims,2007,"""This Is Why I'm Hot""","""mims""",TRUE,1,Capitol Records,2007-01-01,Capitol Records,2000,FALSE,16,0,0,FALSE
daughtry,2007,"""It's Not Over""","""daughtry""",TRUE,5,RCA Records Label,2006,RCA Records Label,2000,FALSE,17,4,2,TRUE
timbaland,2007,"""The Way I Are""","[""timbaland"",""keri hilson""]",TRUE,5,"Blackground Records, LLC",1998-06-16,"Blackground Records, LLC",2000,FALSE,18,4,2,TRUE
soulja boy tell 'em,2007,"""Crank That (Soulja Boy)""","""soulja boy tell 'em""",TRUE,4,Collipark / Interscope,2007-01-01,Collipark; Interscope,2000,FALSE,20,3,1.7320508075688772,TRUE
gym class heroes,2007,"""Cupid's Chokehold""","[""gym class heroes"",""patrick stump""]",TRUE,4,Decaydance/Fueled By Ramen/ATL,2005-02-22,Decaydance; Fueled By Ramen; ATL,2000,FALSE,23,3,1.7320508075688772,TRUE
jim jones,2007,"""We Fly High""","""jim jones""",TRUE,2,Byrds Fly Inc.,2006-07-15,Byrds Fly Inc.,2000,FALSE,28,1,1,TRUE
unk,2007,"""Walk It Out""","""unk""",TRUE,2,eOne Music,2006-10-03,eOne Music,2000,FALSE,30,1,1,TRUE
sean kingston,2007,"""Beautiful Girls""","""sean kingston""",TRUE,4,Epic,2007-07-23,Epic,2000,TRUE,31,3,1.7320508075688772,TRUE
huey,2007,"""Pop, Lock & Drop It""","""huey""",TRUE,1,Jive,2006,Jive,2000,TRUE,34,0,0,FALSE
elliott yamin,2007,"""Wait for You""","""elliott yamin""",TRUE,1,Hickory/Sony ATV/RSM/RED,2007-03-20,Hickory; Sony ATV; RSM; RED,2000,FALSE,41,0,0,FALSE
diddy,2007,"""Last Night""","[""diddy"",""keyshia cole""]",TRUE,1,Bad Boy Records,2006-10-13,Bad Boy Records,2000,FALSE,42,0,0,FALSE
robin thicke,2007,"""Lost Without U""","""robin thicke""",TRUE,3,The Neptunes,2006-01-01,The Neptunes,2000,FALSE,48,2,1.4142135623730951,TRUE
the red jumpsuit apparatus,2007,"""Face Down""","""the red jumpsuit apparatus""",TRUE,1,Death Row Records/gamma.,1993-11-23,Death Row Records; gamma.,2000,FALSE,52,0,0,FALSE
baby boy da prince,2007,"""The Way I Live""","""baby boy da prince""",TRUE,1,Universal Records,2006-01-01,Universal Records,2000,FALSE,53,0,0,FALSE
hurricane chris,2007,"""A Bay Bay""","""hurricane chris""",TRUE,1,J Records/Legacy,2007-06-19,J Records; Legacy,2000,FALSE,56,0,0,FALSE
my chemical romance,2007,"""Welcome To The Black Parade""","""my chemical romance""",TRUE,1,Reprise,2004-06-08,Reprise,2000,FALSE,59,0,0,FALSE
plies,2007,"""Shawty""","[""plies"",""t-pain""]",TRUE,3,Atlantic/Slip N' Slide,2007-06-01,Atlantic; Slip N' Slide,2000,FALSE,60,2,1.4142135623730951,TRUE
onerepublic,2007,"""Apologize""","""onerepublic""",TRUE,10,Mosley / Interscope,2007-01-01,Mosley; Interscope,2000,FALSE,66,9,3,TRUE
colbie caillat,2007,"""Bubbly""","""colbie caillat""",TRUE,4,Universal Records,2007-01-01,Universal Records,2000,FALSE,67,3,1.7320508075688772,TRUE
j. holiday,2007,"""Bed""","""j. holiday""",TRUE,2,Capitol Records,2007-01-01,Capitol Records,2000,FALSE,72,1,1,TRUE
rich boy,2007,"""Throw Some D's""","[""rich boy"",""polow da don""]",TRUE,1,Zone 4 / Rich Boy / IGA,2007-01-01,Zone 4; Rich Boy; IGA,2000,FALSE,73,0,0,FALSE
amy winehouse,2007,"""Rehab""","""amy winehouse""",TRUE,1,Universal-Island Records Ltd.,2006,Universal-Island Records Ltd.,2000,FALSE,74,0,0,FALSE
boys like girls,2007,"""The Great Escape""","""boys like girls""",TRUE,3,Columbia,2006,Columbia,2000,FALSE,77,2,1.4142135623730951,TRUE
paula deanda,2007,"""Walk Away (Remember Me)""","[""paula deanda"",""the d.e.y.""]",TRUE,1,Arista,2006-06-01,Arista,2000,FALSE,79,0,0,FALSE
hellogoodbye,2007,"""Here (In Your Arms)""","""hellogoodbye""",TRUE,1,Drive Thru Records,2006-08-08,Drive Thru Records,2000,FALSE,81,0,0,FALSE
taylor swift,2007,"""Teardrops on My Guitar""","""taylor swift""",TRUE,36,"Big Machine Records, LLC",2006-10-24,"Big Machine Records, LLC",2000,FALSE,89,35,5.916079783099616,TRUE
crime mob,2007,"""Rock Yo Hips""","[""crime mob"",""lil' scrappy""]",TRUE,1,Reprise,2006-08-15,Reprise,2000,FALSE,95,0,0,FALSE
flo rida,2008,"""Low""","[""flo rida"",""t-pain""]",TRUE,11,Geffen,2008-01-01,Geffen,2000,TRUE,1,10,3.1622776601683795,TRUE
leona lewis,2008,"""Bleeding Love""","""leona lewis""",TRUE,2,Syco Music UK,2007,Syco Music UK,2000,FALSE,2,1,1,TRUE
lil wayne,2008,"""Lollipop""","[""lil wayne"",""static major""]",TRUE,11,CM/Republic,2008-01-01,CM; Republic,2000,FALSE,4,10,3.1622776601683795,TRUE
jordin sparks,2008,"""No Air""","[""jordin sparks"",""chris brown""]",TRUE,4,19 Recordings,2007-11-20,19 Recordings,2000,FALSE,6,3,1.7320508075688772,TRUE
sara bareilles,2008,"""Love Song""","""sara bareilles""",TRUE,4,Epic,2007-07-03,Epic,2000,TRUE,7,3,1.7320508075688772,TRUE
katy perry,2008,"""I Kissed a Girl""","""katy perry""",TRUE,18,Capitol Records,2008-06-17,Capitol Records,2000,FALSE,14,17,4.123105625617661,TRUE
kardinal offishall,2008,"""Dangerous""","[""kardinal offishall"",""akon""]",TRUE,1,BBE Music,2004-10-05,BBE Music,2000,FALSE,29,0,0,FALSE
miley cyrus,2008,"""See You Again""","""miley cyrus""",TRUE,12,Hollywood Records,2007-06-26,Hollywood Records,2000,FALSE,31,11,3.3166247903554,TRUE
metro station,2008,"""Shake It""","""metro station""",TRUE,1,Columbia,2007,Columbia,2000,FALSE,32,0,0,FALSE
m.i.a.,2008,"""Paper Planes""","""m.i.a.""",TRUE,1,XL Recordings,2007-08-20,XL Recordings,2000,FALSE,35,0,0,FALSE
estelle,2008,"""American Boy""","[""estelle"",""kanye west""]",TRUE,1,Woah Dad!,2008-01-29,Woah Dad!,2000,FALSE,39,0,0,FALSE
buckcherry,2008,"""Sorry""","""buckcherry""",TRUE,1,Eleven Seven Music,2006-09-25,Eleven Seven Music,2000,FALSE,44,0,0,FALSE
colby o'donis,2008,"""What You Got""","[""colby o'donis"",""akon""]",TRUE,1,Konvict Live/Geffen Records,2008-01-01,Konvict Live; Geffen Records,2000,FALSE,51,0,0,FALSE
secondhand serenade,2008,"""Fall for You""","""secondhand serenade""",TRUE,1,Glassnote - VMG,2008-02-19,Glassnote - VMG,2000,FALSE,58,0,0,FALSE
lupe fiasco,2008,"""Superstar""","[""lupe fiasco"",""matthew santos""]",TRUE,2,Sony 550 Music,1995-10-03,Sony 550 Music,2000,FALSE,63,1,1,TRUE
kevin rudolf,2008,"""Let It Rock""","[""kevin rudolf"",""lil wayne""]",TRUE,3,Cash Money,2008,Cash Money,2000,FALSE,65,2,1.4142135623730951,TRUE
david cook,2008,"""The Time of My Life""","""david cook""",TRUE,1,RCA Records Label,2008-11-18,RCA Records Label,2000,FALSE,69,0,0,FALSE
jonas brothers,2008,"""Burnin' Up""","""jonas brothers""",TRUE,4,Republic Records,2008-08-12,Republic Records,2000,FALSE,73,3,1.7320508075688772,TRUE
the-dream,2008,"""I Luv Your Girl""","""the-dream""",TRUE,2,Dream / IDJ,2007-01-01,Dream; IDJ,2000,FALSE,75,1,1,TRUE
david archuleta,2008,"""Crush""","""david archuleta""",TRUE,1,19 Recordings,2008-08-12,19 Recordings,2000,FALSE,76,0,0,FALSE
rick ross,2008,"""The Boss""","[""rick ross"",""t-pain""]",TRUE,1,Def Jam Recordings,2008-01-01,Def Jam Recordings,2000,TRUE,84,0,0,FALSE
trey songz,2008,"""Can't Help but Wait""","""trey songz""",TRUE,7,Atlantic Records,2007-10-01,Atlantic Records,2000,TRUE,86,6,2.449489742783178,TRUE
trace adkins,2008,"""You're Gonna Miss This""","""trace adkins""",TRUE,1,Rhino Atlantic,1983,Rhino Atlantic,2000,FALSE,93,0,0,FALSE
gavin rossdale,2008,"""Love Remains the Same""","""gavin rossdale""",TRUE,1,"I.G. Records, Inc./Universal Records",2002-01-01,"I.G. Records, Inc.; Universal Records",2000,FALSE,94,0,0,FALSE
saving abel,2008,"""Addicted""","""saving abel""",TRUE,1,Virgin Records,2008-01-01,Virgin Records,2000,FALSE,97,0,0,FALSE
2 pistols,2008,"""She Got It""","[""2 pistols"",""t-pain"",""tay dizm""]",TRUE,1,Universal (MT),2007-01-01,Universal (MT),2000,FALSE,100,0,0,FALSE
lady gaga,2009,"""Poker Face""","""lady gaga""",TRUE,17,Interscope,2008-01-01,Interscope,2000,FALSE,2,16,4,TRUE
kings of leon,2009,"""Use Somebody""","""kings of leon""",TRUE,2,RCA/Legacy,2008-09-23,RCA; Legacy,2000,FALSE,14,1,1,TRUE
keri hilson,2009,"""Knock You Down""","[""keri hilson"",""kanye west"",""ne-yo""]",TRUE,3,Mosley / Interscope,2009,Mosley; Interscope,2000,FALSE,15,2,1.4142135623730951,TRUE
pitbull,2009,"""I Know You Want Me (Calle Ocho)""","""pitbull""",TRUE,9,"Ultra Records, LLC",2009,"Ultra Records, LLC",2000,FALSE,17,8,2.8284271247461903,TRUE
jay sean,2009,"""Down""","[""jay sean"",""lil wayne""]",TRUE,3,Cash Money,2009,Cash Money,2000,FALSE,20,2,1.4142135623730951,TRUE
drake,2009,"""Best I Ever Had""","""drake""",TRUE,43,Young Money/Cash Money Records,2009,Young Money; Cash Money Records,2000,FALSE,22,42,6.48074069840786,TRUE
shinedown,2009,"""Second Chance""","""shinedown""",TRUE,1,Atlantic Records,2008-06-23,Atlantic Records,2000,TRUE,26,0,0,FALSE
kid cudi,2009,"""Day 'n' Nite""","""kid cudi""",TRUE,1,Kid Cudi/Universal Records,2009-01-01,Kid Cudi; Universal Records,2000,FALSE,28,0,0,FALSE
3oh!3,2009,"""Don't Trust Me""","""3oh!3""",TRUE,2,Rhino Atlantic,2008-07-07,Rhino Atlantic,2000,FALSE,30,1,1,TRUE
jason derulo,2009,"""Whatcha Say""","""jason derulo""",TRUE,11,Beluga Heights/Warner Records,2010-02-24,Beluga Heights; Warner Records,2000,FALSE,34,10,3.1622776601683795,TRUE
jeremih,2009,"""Birthday Sex""","""jeremih""",TRUE,4,Bu Vision LLC / IDJ,2009-01-01,Bu Vision LLC; IDJ,2000,FALSE,37,3,1.7320508075688772,TRUE
cobra starship,2009,"""Good Girls Go Bad""","[""cobra starship"",""leighton meester""]",TRUE,2,Decaydance/Fueled By Ramen,2009-08-07,Decaydance; Fueled By Ramen,2000,FALSE,43,1,1,TRUE
owl city,2009,"""Fireflies""","""owl city""",TRUE,3,Universal Records,2009-01-01,Universal Records,2000,FALSE,60,2,1.4142135623730951,TRUE
young money,2009,"""Every Girl""","""young money""",TRUE,2,Young Money/Cash Money Records,2009,Young Money; Cash Money Records,2000,FALSE,67,1,1,TRUE
the veronicas,2009,"""Untouched""","""the veronicas""",TRUE,1,Epic/Legacy,1991-08-27,Epic; Legacy,2000,TRUE,69,0,0,FALSE
asher roth,2009,"""I Love College""","""asher roth""",TRUE,1,SRC Records,2009-01-01,SRC Records,2000,FALSE,73,0,0,FALSE
jason aldean,2009,"""Big Green Tractor""","""jason aldean""",TRUE,11,Broken Bow Records,2009-04-07,Broken Bow Records,2000,FALSE,75,10,3.1622776601683795,TRUE
zac brown band,2009,"""Chicken Fried""","""zac brown band""",TRUE,4,Home Grown Music,2008-11-17,Home Grown Music,2000,FALSE,81,3,1.7320508075688772,TRUE
iyaz,2009,"""Replay""","""iyaz""",TRUE,2,Time Is Money/Beluga Heights/Reprise,2009-08-11,Time Is Money; Beluga Heights; Reprise,2000,FALSE,83,1,1,TRUE
brad paisley,2009,"""Then""","""brad paisley""",TRUE,2,Arista Nashville,2009-06-30,Arista Nashville,2000,FALSE,84,1,1,TRUE
justin bieber,2009,"""One Time""","""justin bieber""",TRUE,16,RBMG/Def Jam,2009-01-01,RBMG; Def Jam,2000,FALSE,89,15,3.872983346207417,TRUE
lady antebellum,2009,"""I Run to You""","""lady antebellum""",TRUE,6,Atlantic Records,1971-11-08,Atlantic Records,2000,TRUE,90,5,2.23606797749979,TRUE
billy currington,2009,"""People Are Crazy""","""billy currington""",TRUE,1,Mercury Nashville,2008-01-01,Mercury Nashville,2000,FALSE,93,0,0,FALSE
kristinia debarge,2009,"""Goodbye""","""kristinia debarge""",TRUE,1,Columbia/Legacy,1998-09-07,Columbia; Legacy,2000,FALSE,96,0,0,FALSE
michael franti,2009,"""Say Hey (I Love You)""","[""michael franti"",""spearhead"",""cherine anderson""]",TRUE,1,Boo Boo Wax,2008-09-09,Boo Boo Wax,2000,FALSE,97,0,0,FALSE
kesha,2010,"""Tik Tok""","""kesha""",TRUE,9,RCA Records Label,2009-08-07,RCA Records Label,2010,FALSE,1,8,2.8284271247461903,TRUE
b.o.b,2010,"""Airplanes""","[""b.o.b"",""hayley williams""]",TRUE,4,Rebel Rock/Grand Hustle/Atlantic,2010-04-27,Rebel Rock; Grand Hustle; Atlantic,2010,FALSE,6,3,1.7320508075688772,TRUE
taio cruz,2010,"""Dynamite""","""taio cruz""",TRUE,3,Universal-Island Records Ltd.,2010-01-01,Universal-Island Records Ltd.,2010,FALSE,9,2,1.4142135623730951,TRUE
bruno mars,2010,"""Just the Way You Are""","""bruno mars""",TRUE,11,Atlantic Records,2010-05-11,Atlantic Records,2010,FALSE,18,10,3.1622776601683795,TRUE
mike posner,2010,"""Cooler Than Me""","""mike posner""",TRUE,3,Monster Mountain Records,2009-02-28,Monster Mountain Records,2010,FALSE,19,2,1.4142135623730951,TRUE
travie mccoy,2010,"""Billionaire""","[""travie mccoy"",""bruno mars""]",TRUE,1,Decaydance/Fueled By Ramen,2010-03-09,Decaydance; Fueled By Ramen,2010,FALSE,23,0,0,FALSE
david guetta,2010,"""Sexy Bitch""","[""david guetta"",""akon""]",TRUE,8,Parlophone (France),2009-08-21,Parlophone (France),2010,FALSE,26,7,2.6457513110645907,TRUE
the script,2010,"""Breakeven""","""the script""",TRUE,3,Epic/Phonogenic,2008-07-14,Epic; Phonogenic,2010,TRUE,27,2,1.4142135623730951,TRUE
far east movement,2010,"""Like a G6""","[""far east movement"",""the cataracs"",""dev""]",TRUE,3,Interscope,2010-01-01,Interscope,2010,FALSE,37,2,1.4142135623730951,TRUE
michael bublé,2010,"""Haven't Met You Yet""","""michael bublé""",TRUE,1,143/Reprise,2003,143; Reprise,2010,FALSE,39,0,0,FALSE
la roux,2010,"""Bulletproof""","""la roux""",TRUE,1,Polydor Records,2009,Polydor Records,2010,FALSE,42,0,0,FALSE
adam lambert,2010,"""Whataya Want from Me""","""adam lambert""",TRUE,1,RCA Records Label,2009-11-23,RCA Records Label,2010,FALSE,45,0,0,FALSE
kris allen,2010,"""Live Like We're Dying""","""kris allen""",TRUE,1,Jive,2009-09-25,Jive,2010,TRUE,48,0,0,FALSE
orianthi,2010,"""According to You""","""orianthi""",TRUE,1,Geffen,2009-01-01,Geffen,2010,TRUE,55,0,0,FALSE
neon trees,2010,"""Animal""","""neon trees""",TRUE,3,Ginsberg Recordings,1994-09-06,Ginsberg Recordings,2010,FALSE,61,2,1.4142135623730951,TRUE
new boyz,2010,"""Tie Me Down""","[""new boyz"",""ray j""]",TRUE,2,Bad Boy Records,2005-06-21,Bad Boy Records,2010,FALSE,65,1,1,TRUE
nicki minaj,2010,"""Your Love""","""nicki minaj""",TRUE,13,Cash Money Records/Motown Records,2009-01-01,Cash Money Records; Motown Records,2010,FALSE,66,12,3.4641016151377544,TRUE
shontelle,2010,"""Impossible""","""shontelle""",TRUE,1,SRC Records,2010-01-01,SRC Records,2010,FALSE,70,0,0,FALSE
selena gomez,2010,"""Naturally""","[""selena gomez"",""the scene""]",TRUE,11,Hollywood Records,2009-01-01,Hollywood Records,2010,FALSE,77,10,3.1622776601683795,TRUE
dj khaled,2010,"""All I Do Is Win""","[""dj khaled"",""t-pain"",""ludacris"",""snoop dogg"",""rick ross""]",TRUE,8,Uptown,1992-01-01,Uptown,2010,FALSE,79,7,2.6457513110645907,TRUE
sugarland,2010,"""Stuck Like Glue""","""sugarland""",TRUE,1,Mercury Nashville,2010-01-01,Mercury Nashville,2010,FALSE,81,0,0,FALSE
miranda lambert,2010,"""The House That Built Me""","""miranda lambert""",TRUE,4,Columbia Nashville,2009-09-24,Columbia Nashville,2010,FALSE,91,3,1.7320508075688772,TRUE
the band perry,2010,"""If I Die Young""","""the band perry""",TRUE,2,"Big Machine Label Group, LLC",2010-01-01,"Big Machine Label Group, LLC",2010,FALSE,92,1,1,TRUE
paramore,2010,"""The Only Exception""","""paramore""",TRUE,3,Fueled By Ramen,2009-09-22,Fueled By Ramen,2010,FALSE,93,2,1.4142135623730951,TRUE
cali swag district,2010,"""Teach Me How to Dougie""","""cali swag district""",TRUE,1,RPS Fam & Grand Hustle,2010-12-03,RPS Fam & Grand Hustle,2010,FALSE,98,0,0,FALSE
jerrod niemann,2010,"""Lover, Lover""","""jerrod niemann""",TRUE,1,Sea Gayle Records/Arista Nashville,2010-07-13,Sea Gayle Records; Arista Nashville,2010,FALSE,100,0,0,FALSE
adele,2011,"""Rolling in the Deep""","""adele""",TRUE,13,XL Recordings,2011-01-17,XL Recordings,2010,FALSE,1,12,3.4641016151377544,TRUE
lmfao,2011,"""Party Rock Anthem""","[""lmfao"",""lauren bennett"",""goonrock""]",TRUE,4,Will I Am / A&M,2009-01-01,Will I Am; A&M,2010,FALSE,2,3,1.7320508075688772,TRUE
ceelo green,2011,"""Fuck You (Forget You)""","""ceelo green""",TRUE,1,Strut,1982-04-14,Strut,2010,FALSE,7,0,0,FALSE
foster the people,2011,"""Pumped Up Kicks""","""foster the people""",TRUE,1,Columbia,2011-05-23,Columbia,2010,FALSE,13,0,0,FALSE
wiz khalifa,2011,"""Black and Yellow""","""wiz khalifa""",TRUE,5,Rostrum/Atlantic,2011-03-29,Rostrum; Atlantic,2010,FALSE,31,4,2,TRUE
hot chelle rae,2011,"""Tonight Tonight""","""hot chelle rae""",TRUE,1,Def Jam Recordings,2004-01-01,Def Jam Recordings,2010,TRUE,32,0,0,FALSE
bad meets evil,2011,"""Lighters""","[""bad meets evil"",""bruno mars""]",TRUE,1,Shady Records,2011-01-01,Shady Records,2010,FALSE,34,0,0,FALSE
diddy – dirty money,2011,"""Coming Home""","[""diddy – dirty money"",""skylar grey""]",TRUE,1,Bad Boy / Interscope,2010-01-01,Bad Boy; Interscope,2010,FALSE,38,0,0,FALSE
waka flocka flame,2011,"""No Hands""","[""waka flocka flame"",""wale"",""roscoe dash""]",TRUE,1,Asylum/Warner Records,2010-09-06,Asylum; Warner Records,2010,FALSE,45,0,0,FALSE
kelly rowland,2011,"""Motivation""","[""kelly rowland"",""lil wayne""]",TRUE,1,Motown,2002-06-25,Motown,2010,FALSE,53,0,0,FALSE
edward maya,2011,"""Stereo Love""","[""edward maya"",""vika jigulina""]",TRUE,1,"Ultra Records, LLC",2009,"Ultra Records, LLC",2010,FALSE,54,0,0,FALSE
christina perri,2011,"""Jar of Hearts""","""christina perri""",TRUE,2,Atlantic Records,2011-05-10,Atlantic Records,2010,FALSE,55,1,1,TRUE
tinie tempah,2011,"""Written in the Stars""","[""tinie tempah"",""eric turner""]",TRUE,1,Parlophone UK,2010-05-31,Parlophone UK,2010,FALSE,63,0,0,FALSE
eli young band,2011,"""Crazy Girl""","""eli young band""",TRUE,2,Rhino Atlantic,1971-02-22,Rhino Atlantic,2010,FALSE,76,1,1,TRUE
jake owen,2011,"""Barefoot Blue Jean Night""","""jake owen""",TRUE,2,RCA Records Label Nashville,2011-08-26,RCA Records Label Nashville,2010,FALSE,79,1,1,TRUE
luke bryan,2011,"""Country Girl (Shake It for Me)""","""luke bryan""",TRUE,9,Capitol Nashville,2011-01-01,Capitol Nashville,2010,FALSE,81,8,2.8284271247461903,TRUE
dev,2011,"""In the Dark""","""dev""",TRUE,1,Universal Records,2012-01-01,Universal Records,2010,FALSE,83,0,0,FALSE
rodney atkins,2011,"""Take a Back Road""","""rodney atkins""",TRUE,1,Curb Records,2011-10-04,Curb Records,2010,FALSE,90,0,0,FALSE
miguel,2011,"""Sure Thing""","""miguel""",TRUE,5,Jive,2010-11-26,Jive,2010,TRUE,92,4,2,TRUE
jessie j,2011,"""Price Tag""","[""jessie j"",""b.o.b""]",TRUE,4,Lava Music/Republic Records,2011-01-01,Lava Music; Republic Records,2010,TRUE,93,3,1.7320508075688772,TRUE
thompson square,2011,"""Are You Gonna Kiss Me or Not""","""thompson square""",TRUE,1,Jive,2003-11-04,Jive,2010,TRUE,96,0,0,FALSE
big sean,2011,"""My Last""","[""big sean"",""chris brown""]",TRUE,5,Manhaton Records,2011,Manhaton Records,2010,FALSE,100,4,2,TRUE
gotye,2012,"""Somebody That I Used to Know""","[""gotye"",""kimbra""]",TRUE,1,Samples & Seconds / Republic,2011-01-01,Samples & Seconds; Republic,2010,FALSE,1,0,0,FALSE
carly rae jepsen,2012,"""Call Me Maybe""","""carly rae jepsen""",TRUE,1,Silent Records IGA,2012-01-01,Silent Records IGA,2010,FALSE,2,0,0,FALSE
fun,2012,"""We Are Young""","[""fun"",""janelle monáe""]",TRUE,4,FFWD Records,2008-06-18,FFWD Records,2010,FALSE,3,3,1.7320508075688772,TRUE
ellie goulding,2012,"""Lights""","""ellie goulding""",TRUE,5,Secretly Canadian,1981-02-03,Secretly Canadian,2010,FALSE,5,4,2,TRUE
the wanted,2012,"""Glad You Came""","""the wanted""",TRUE,1,Tooth & Nail (TNN),2008-01-01,Tooth & Nail (TNN),2010,FALSE,6,0,0,FALSE
one direction,2012,"""What Makes You Beautiful""","""one direction""",TRUE,6,Syco Music UK,2010-11-29,Syco Music UK,2010,FALSE,10,5,2.23606797749979,TRUE
alex clare,2012,"""Too Close""","""alex clare""",TRUE,1,Universal-Island Records Ltd.,2011,Universal-Island Records Ltd.,2010,FALSE,30,0,0,FALSE
demi lovato,2012,"""Give Your Heart a Break""","""demi lovato""",TRUE,5,Hollywood Records,2011-01-01,Hollywood Records,2010,FALSE,39,4,2,TRUE
calvin harris,2012,"""Feel So Close""","""calvin harris""",TRUE,10,Columbia,2011-08-19,Columbia,2010,FALSE,42,9,3,TRUE
tyga,2012,"""Rack City""","""tyga""",TRUE,2,Cash Money Records/Motown Records,2012-01-01,Cash Money Records; Motown Records,2010,FALSE,45,1,1,TRUE
psy,2012,"""Gangnam Style""","""psy""",TRUE,2,Silent Records/Universal Republic Records,2012-01-01,Silent Records; Universal Republic Records,2010,FALSE,47,1,1,TRUE
phillip phillips,2012,"""Home""","""phillip phillips""",TRUE,3,19 Recordings/Interscope,2012-01-01,19 Recordings; Interscope,2010,FALSE,49,2,1.4142135623730951,TRUE
hunter hayes,2012,"""Wanted""","""hunter hayes""",TRUE,3,Atlantic Records,2011,Atlantic Records,2010,FALSE,52,2,1.4142135623730951,TRUE
2 chainz,2012,"""No Lie""","[""2 chainz"",""drake""]",TRUE,2,Def Jam Recordings,2012-01-01,Def Jam Recordings,2010,TRUE,54,1,1,TRUE
cher lloyd,2012,"""Want U Back""","""cher lloyd""",TRUE,1,Syco Music UK,2012-10-02,Syco Music UK,2010,FALSE,55,0,0,FALSE
eric church,2012,"""Springsteen""","""eric church""",TRUE,2,Roc Nation / Jay-Z,2009-09-08,Roc Nation; Jay-Z,2010,FALSE,58,1,1,TRUE
karmin,2012,"""Brokenhearted""","""karmin""",TRUE,1,Epic,2012-05-07,Epic,2010,TRUE,59,0,0,FALSE
j. cole,2012,"""Work Out""","""j. cole""",TRUE,3,Roc Nation LLC,2011-09-27,Roc Nation LLC,2010,FALSE,63,2,1.4142135623730951,TRUE
little big town,2012,"""Pontoon""","""little big town""",TRUE,2,Average Joes Entertainment,2010-09-28,Average Joes Entertainment,2010,FALSE,67,1,1,TRUE
the lumineers,2012,"""Ho Hey""","""the lumineers""",TRUE,2,Dualtone Music Group,2012-04-03,Dualtone Music Group,2010,FALSE,68,1,1,TRUE
kirko bangz,2012,"""Drank in My Cup""","""kirko bangz""",TRUE,1,Warner Records,2011-09-16,Warner Records,2010,FALSE,78,0,0,FALSE
havana brown,2012,"""We Run the Night""","[""havana brown"",""pitbull""]",TRUE,1,Universal Music Australia Pty. Ltd.,2011-01-01,Universal Music Australia Pty. Ltd.,2010,FALSE,90,0,0,FALSE
