primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year
paul davis,1982,"""'65 Love Affair""","""paul davis""",FALSE,3,Epic/Legacy,1980-02-01
asia,1982,"""Heat of the Moment""","""asia""",TRUE,2,Geffen,1982-03-08
little river band,1982,"""Take It Easy on Me""","""little river band""",FALSE,7,CAPITOL CATALOG MKT (C92),1981-08-01
buckner,1982,"""Pac-Man Fever""","[""buckner"",""garcia""]",TRUE,1,Buckner & Garcia Productions,1999-05-01
stevie wonder,1982,"""That Girl""","""stevie wonder""",FALSE,18,UNI/MOTOWN,1982-05-04
daryl hall,1982,"""Private Eyes""","[""daryl hall"",""john oates""]",FALSE,16,RCA/BMG Heritage,1981
lindsey buckingham,1982,"""Trouble""","""lindsey buckingham""",TRUE,1,Reprise,1981
roberta flack,1982,"""Making Love""","""roberta flack""",FALSE,6,Columbia,1980-07-25
juice newton,1982,"""Love's Been a Little Bit Hard on Me""","""juice newton""",FALSE,4,EMI Music Nashville (ERN),1981-01-01
rod stewart,1982,"""Young Turks""","""rod stewart""",FALSE,14,Rhino/Warner Records,1981
the j. geils band,1982,"""Freeze-Frame""","""the j. geils band""",FALSE,2,EMI/EMI Records (USA),1981
reo speedwagon,1982,"""Keep the Fire Burnin'""","""reo speedwagon""",FALSE,4,Epic,1982-06-11
huey lewis and the news,1982,"""Do You Believe in Love""","""huey lewis and the news""",TRUE,10,Chrysalis\EMI Records (USA),1982-01-01
paul davis,1982,"""Cool Night""","""paul davis""",FALSE,3,SBCMG,1981
.38 special,1982,"""Caught Up In You""",""".38 special""",TRUE,2,A&M,1982-01-01
diana ross,1982,"""Why Do Fools Fall In Love?""","""diana ross""",FALSE,13,RCA/Legacy,1981-09-14
alabama,1982,"""Love in the First Degree""","""alabama""",FALSE,3,RLG/Legacy,1980
royal philharmonic orchestra,1982,"""Hooked On Classics""","""royal philharmonic orchestra""",TRUE,1,Castle Communications,1966-10-28
crosby,1982,"""Wasted on the Way""","[""crosby"",""stills"",""nash""]",FALSE,3,Rhino Atlantic,1980-12-08
eddie money,1982,"""Think I'm in Love""","""eddie money""",FALSE,4,Columbia/Legacy,1977
donna summer,1982,"""Love Is in Control (Finger on the Trigger)""","""donna summer""",FALSE,11,Island Def Jam,1979-04-25
karla bonoff,1982,"""Personally""","""karla bonoff""",TRUE,1,Columbia,1977
quincy jones,1982,"""One Hundred Ways""","[""quincy jones"",""james ingram""]",TRUE,1,Verve,1962-01-01
elton john,1982,"""Blue Eyes""","""elton john""",FALSE,28,UMC (Universal Music Catalogue),1982-01-01
the go-go's,1982,"""Our Lips Are Sealed""","""the go-go's""",FALSE,4,Elektra Records,1977-02-08
sheena easton,1982,"""You Could Have Been with Me""","""sheena easton""",FALSE,7,RT Industries,1981
america,1982,"""You Can Do Magic""","""america""",FALSE,4,Capitol Records,1982-01-01
daryl hall,1982,"""Did It in a Minute""","[""daryl hall"",""john oates""]",FALSE,16,RCA/BMG Heritage,1981
a flock of seagulls,1982,"""I Ran (So Far Away)""","""a flock of seagulls""",TRUE,1,Jive/Legacy,1981
jackson browne,1982,"""Somebody's Baby""","""jackson browne""",FALSE,4,Columbia Nashville,1976-07-01
commodores,1982,"""Oh No""","""commodores""",FALSE,8,UNI/MOTOWN,1981-01-01
paul mccartney,1982,"""Take It Away""","""paul mccartney""",FALSE,13,Paul McCartney Catalog,1982-04-26
deniece williams,1982,"""It's Gonna Take a Miracle""","""deniece williams""",TRUE,2,Columbia/Legacy,1982
kenny rogers,1982,"""Love Will Turn You Around""","""kenny rogers""",FALSE,13,Rhino/Warner Records,1978
journey,1982,"""Don't Stop Believin'""","""journey""",FALSE,6,Columbia/Legacy,1981-07-17
barbra streisand,1982,"""Comin' In and Out of Your Life""","""barbra streisand""",FALSE,10,Columbia,1981
laura branigan,1982,"""Gloria""","""laura branigan""",TRUE,5,Atlantic Records,1982-03-10
elton john,1982,"""Empty Garden (Hey Hey Johnny)""","""elton john""",FALSE,28,EMI,1974-06-28
neil diamond,1982,"""Yesterday's Songs""","""neil diamond""",FALSE,9,Neil Diamond,1981-11-28
joan jett,1982,"""Crimson and Clover""","[""joan jett"",""the blackhearts""]",FALSE,2,Legacy Recordings,1981-11-18
the police,1982,"""Every Little Thing She Does Is Magic""","""the police""",FALSE,5,Polydor Records,1981-10-02
air supply,1982,"""Here I Am""","""air supply""",FALSE,8,Buddha Records,1981
michael mcdonald,1982,"""I Keep Forgettin' (Every Time You're Near)""","""michael mcdonald""",TRUE,2,Reprise,1982-08-03
kool,1982,"""Get Down on It""","[""kool"",""the gang""]",FALSE,13,Island Def Jam,1981
ronnie milsap,1982,"""Any Day Now""","""ronnie milsap""",FALSE,4,Craft Recordings,1980-02-01
olivia newton-john,1982,"""Make a Move on Me""","""olivia newton-john""",FALSE,13,Rhino/Elektra,1996
kool,1982,"""Take My Heart (You Can Have It If You Want It)""","[""kool"",""the gang""]",FALSE,13,Island Def Jam,1981
diana ross,1982,"""Mirror Mirror""","""diana ross""",FALSE,13,UNI/MOTOWN,1980-05-22
the go-go's,1982,"""Vacation""","""the go-go's""",FALSE,4,A&M,1982
van halen,1982,"""Oh, Pretty Woman""","""van halen""",FALSE,6,Rhino/Warner Records,1982-04-14
the pointer sisters,1982,"""Should I Do It""","""the pointer sisters""",FALSE,8,RCA/Legacy,1981
billy idol,1982,"""Hot in the City""","""billy idol""",TRUE,5,CAPITOL CATALOG MKT (C92),1982-01-01
kim wilde,1982,"""Kids in America""","""kim wilde""",TRUE,2,Cherry Red Records,1981-06-29
little river band,1982,"""Man on Your Mind""","""little river band""",FALSE,7,CAPITOL CATALOG MKT (C92),1981-08-01
michael murphey,1982,"""What's Forever For""","""michael murphey""",TRUE,1,Capitol Nashville,1982
the rolling stones,1982,"""Waiting on a Friend""","""the rolling stones""",FALSE,6,"ABKCO Music and Records, Inc.",1966-04-15
stevie wonder,1982,"""Do I Do""","""stevie wonder""",FALSE,18,Motown,1973-08-03
loverboy,1982,"""Working for the Weekend""","""loverboy""",TRUE,2,Columbia,1980
greg guidry,1982,"""Goin' Down""","""greg guidry""",TRUE,1,Geffen,1966-08-03
christopher cross,1982,"""Arthur's Theme (Best That You Can Do)""","""christopher cross""",FALSE,6,Seeker Music,1979-12-20
kenny rogers,1982,"""Through the Years""","""kenny rogers""",FALSE,13,EMI Music Nashville (ERN),1981-06-15
stevie nicks,1982,"""Edge of Seventeen""","""stevie nicks""",FALSE,5,Rhino Atlantic,1981-07-27
the police,1983,"""Every Breath You Take""","""the police""",FALSE,5,Polydor Records,1983-06-17
michael jackson,1983,"""Billie Jean""","""michael jackson""",FALSE,26,Epic,1982-11-30
irene cara,1983,"""Flashdance... What a Feeling""","""irene cara""",FALSE,3,UNIDISC MUSIC INC.,1983-11-02
men at work,1983,"""Down Under""","""men at work""",FALSE,4,Columbia,1981-11-09
michael jackson,1983,"""Beat It""","""michael jackson""",FALSE,26,Epic,1982-11-30
bonnie tyler,1983,"""Total Eclipse of the Heart""","""bonnie tyler""",FALSE,2,Sony Music CG,1983-04-11
daryl hall,1983,"""Maneater""","[""daryl hall"",""john oates""]",FALSE,16,RCA/Legacy,1982-10-04
patti austin,1983,"""Baby, Come to Me""","[""patti austin"",""james ingram""]",TRUE,1,Craft Recordings,1981-12-15
michael sembello,1983,"""Maniac""","""michael sembello""",TRUE,1,Mercury Records,1983-04-11
eurythmics,1983,"""Sweet Dreams (Are Made of This)""","""eurythmics""",TRUE,3,RCA Records Label,1983-01-04
culture club,1983,"""Do You Really Want to Hurt Me""","""culture club""",TRUE,6,Virgin Catalogue,1982-09-01
eddie rabbitt,1983,"""You and I""","[""eddie rabbitt"",""crystal gayle""]",FALSE,5,Capitol Nashville,1982-10
dexys midnight runners,1983,"""Come On Eileen""","""dexys midnight runners""",TRUE,1,Mercury Nashville,1982-07-22
bob seger,1983,"""Shame on the Moon""","[""bob seger"",""the silver bullet band""]",FALSE,6,Bob Seger,1982-12-01
donna summer,1983,"""She Works Hard for the Money""","""donna summer""",FALSE,11,Island Mercury,1983-01-01
sérgio mendes,1983,"""Never Gonna Let You Go""","""sérgio mendes""",TRUE,1,A&M,1983
duran duran,1983,"""Hungry Like the Wolf""","""duran duran""",TRUE,11,Parlophone UK,1982-05-10
david bowie,1983,"""Let's Dance""","""david bowie""",FALSE,5,Parlophone UK,1983
golden earring,1983,"""Twilight Zone""","""golden earring""",FALSE,2,Red Bullet,1982
frida,1983,"""I Know There's Something Going On""","""frida""",TRUE,1,Polar Music International AB,1982-08
the greg kihn band,1983,"""Jeopardy""","""the greg kihn band""",FALSE,2,Reservoir,1983-01-01
eddy grant,1983,"""Electric Avenue""","""eddy grant""",TRUE,1,Big Eye Music,2011-02-01
thomas dolby,1983,"""She Blinded Me with Science""","""thomas dolby""",TRUE,1,Echo,1983-12-09
toto,1983,"""Africa""","""toto""",FALSE,5,Columbia,1982-04-08
prince,1983,"""Little Red Corvette""","""prince""",FALSE,11,Legacy Recordings,1982-10-27
the pretenders,1983,"""Back on the Chain Gang""","""the pretenders""",FALSE,4,Rhino/Warner Records,1984
joe cocker,1983,"""Up Where We Belong""","[""joe cocker"",""jennifer warnes""]",FALSE,3,Hollywood Records,1974-01-01
styx,1983,"""Mr. Roboto""","""styx""",FALSE,9,A&M,1983-01-01
lionel richie,1983,"""You Are""","""lionel richie""",TRUE,12,UNI/MOTOWN,1982
after the fire,1983,"""Der Kommissar""","""after the fire""",TRUE,1,Columbia,1982-08-21
taco,1983,"""Puttin' on the Ritz""","""taco""",TRUE,1,Aviator-Entertainment,1982-01-01
marvin gaye,1983,"""Sexual Healing""","""marvin gaye""",FALSE,5,Columbia/Legacy,1982-10-01
the human league,1983,"""(Keep Feeling) Fascination""","""the human league""",FALSE,3,EMI Marketing,2005-01-01
culture club,1983,"""Time (Clock of the Heart)""","""culture club""",FALSE,6,Virgin Catalogue,1989-01-01
men without hats,1983,"""The Safety Dance""","""men without hats""",TRUE,1,Geffen,1982-04-01
toni basil,1983,"""Mickey""","""toni basil""",TRUE,1,FFRC,1982-01-08
phil collins,1983,"""You Can't Hurry Love""","""phil collins""",TRUE,14,Rhino,1982-11-05
journey,1983,"""Separate Ways (Worlds Apart)""","""journey""",FALSE,6,Columbia,1983-02-01
daryl hall,1983,"""One on One""","[""daryl hall"",""john oates""]",FALSE,16,RCA/Legacy,1982-10-04
kenny rogers,1983,"""We've Got Tonight""","[""kenny rogers"",""sheena easton""]",FALSE,13,EMI Music Nashville (ERN),1977-10-23
prince,1983,"""1999""","""prince""",FALSE,11,Legacy Recordings,1982-10-27
stray cats,1983,"""Stray Cat Strut""","""stray cats""",TRUE,2,EMI/EMI Records (USA),1982-01-01
billy joel,1983,"""Allentown""","""billy joel""",FALSE,12,Columbia,1982-06-23
stevie nicks,1983,"""Stand Back""","""stevie nicks""",FALSE,5,Rhino Atlantic,1983-06-10
billy joel,1983,"""Tell Her About It""","""billy joel""",FALSE,12,Columbia,1983-08-08
naked eyes,1983,"""Always Something There to Remind Me""","""naked eyes""",TRUE,2,Albert Productions,1981
lionel richie,1983,"""Truly""","""lionel richie""",FALSE,12,UNI/MOTOWN,1982
don henley,1983,"""Dirty Laundry""","""don henley""",TRUE,4,Rhino,1982-08-13
michael jackson,1983,"""The Girl Is Mine""","[""michael jackson"",""paul mccartney""]",FALSE,26,Epic,1982-11-30
kajagoogoo,1983,"""Too Shy""","""kajagoogoo""",TRUE,1,Parlophone UK,1983
adam ant,1983,"""Goody Two-Shoes""","""adam ant""",TRUE,1,Columbia,1982
the clash,1983,"""Rock the Casbah""","""the clash""",TRUE,1,Sony Music UK,1982
madness,1983,"""Our House""","""madness""",TRUE,1,Rhino Atlantic,1970-03-11
men at work,1983,"""Overkill""","""men at work""",FALSE,4,Columbia/Legacy,1981
duran duran,1983,"""Is There Something I Should Know?""","""duran duran""",FALSE,11,Parlophone UK,1981-06-15
laura branigan,1983,"""Gloria""","""laura branigan""",FALSE,5,Atlantic Records,1982-03-10
rick springfield,1983,"""Affair of the Heart""","""rick springfield""",FALSE,5,RCA/Legacy,1981
the tubes,1983,"""She's a Beauty""","""the tubes""",TRUE,1,Capitol Records,1983
laura branigan,1983,"""Solitaire""","""laura branigan""",FALSE,5,Atlantic Records,1983-03-16
styx,1983,"""Don't Let It End""","""styx""",FALSE,9,Universal Music Enterprises,1973
laura branigan,1983,"""How Am I Supposed to Live Without You""","""laura branigan""",FALSE,5,Atlantic Records,1983-03-16
david bowie,1983,"""China Girl""","""david bowie""",FALSE,5,Parlophone UK,1983
the kinks,1983,"""Come Dancing""","""the kinks""",FALSE,2,Sanctuary Records,1970-11-27
naked eyes,1983,"""Promises, Promises""","""naked eyes""",FALSE,2,Chrysalis Records,1983-01-01
little river band,1983,"""The Other Guy""","""little river band""",FALSE,7,Little River Band,2006
air supply,1983,"""Making Love Out of Nothing at All""","""air supply""",FALSE,8,Arista/BMG Heritage,2003-05-29
daryl hall,1983,"""Family Man""","[""daryl hall"",""john oates""]",FALSE,16,RCA/Legacy,1982-10-04
michael jackson,1983,"""Wanna Be Startin' Somethin'""","""michael jackson""",FALSE,26,Epic,1982-11-30
toto,1983,"""I Won't Hold You Back""","""toto""",FALSE,5,Columbia,1978-10-10
christopher cross,1983,"""All Right""","""christopher cross""",FALSE,6,Seeker Music,1979-12-20
bryan adams,1983,"""Straight from the Heart""","""bryan adams""",TRUE,12,A&M,1983-01-18
kenny loggins,1983,"""Heart to Heart""","""kenny loggins""",FALSE,6,Columbia,1982
lionel richie,1983,"""My Love""","""lionel richie""",FALSE,12,UNI/MOTOWN,1982
elton john,1983,"""I'm Still Standing""","""elton john""",FALSE,28,UMC (Universal Music Catalogue),1970-04-10
loverboy,1983,"""Hot Girls in Love""","""loverboy""",FALSE,2,Columbia,1983
men at work,1983,"""It's a Mistake""","""men at work""",FALSE,4,Columbia/Legacy,1983
culture club,1983,"""I'll Tumble 4 Ya""","""culture club""",FALSE,6,Virgin Catalogue,1982-09-01
debarge,1983,"""All This Love""","""debarge""",TRUE,4,UNI/MOTOWN,1982-04-28
sammy hagar,1983,"""Your Love Is Driving Me Crazy""","""sammy hagar""",TRUE,1,Geffen,1982-01-01
dionne warwick,1983,"""Heartbreaker""","""dionne warwick""",FALSE,5,Legacy Recordings,1982
journey,1983,"""Faithfully""","""journey""",FALSE,6,Columbia,1983-02-01
joe jackson,1983,"""Steppin' Out""","""joe jackson""",TRUE,2,A&M,1982
quarterflash,1983,"""Take Me to Heart""","""quarterflash""",FALSE,2,Geffen,1983-01-01
stray cats,1983,"""(She's) Sexy + 17""","""stray cats""",FALSE,2,CAPITOL CATALOG MKT (C92),1983-08-05
champaign,1983,"""Try Again""","""champaign""",FALSE,2,Legacy Recordings,1983-03-14
shalamar,1983,"""Dead Giveaway""","""shalamar""",FALSE,3,UNIDISC MUSIC INC.,1983-01-01
jackson browne,1983,"""Lawyers in Love""","""jackson browne""",FALSE,4,Elektra Records,1983-07-26
moving pictures,1983,"""What About Me""","""moving pictures""",TRUE,1,Wheatley Records,1981
michael jackson,1983,"""Human Nature""","""michael jackson""",FALSE,26,Epic,1982-11-30
def leppard,1983,"""Photograph""","""def leppard""",TRUE,7,UMC (Universal Music Catalogue),1983-01-20
musical youth,1983,"""Pass the Dutchie""","""musical youth""",TRUE,1,UMC (Universal Music Catalogue),1982-10-22
spandau ballet,1983,"""True""","""spandau ballet""",TRUE,1,Parlophone UK,1983-02-25
frank stallone,1983,"""Far from Over""","""frank stallone""",TRUE,1,Bee Gees Catalog,1977-12-13
eric clapton,1983,"""I've Got a Rock 'n' Roll Heart""","""eric clapton""",FALSE,8,Bushbranch / Surfdog Records,1983-02-01
stephen bishop,1983,"""It Might Be You""","""stephen bishop""",FALSE,2,Rhino/Warner Records,1982
peabo bryson,1983,"""Tonight, I Celebrate My Love""","[""peabo bryson"",""roberta flack""]",TRUE,3,CAPITOL CATALOG MKT (C92),1983-07-22
tom petty and the heartbreakers,1983,"""You Got Lucky""","""tom petty and the heartbreakers""",FALSE,4,Geffen*,1982-11-02
asia,1983,"""Don't Cry""","""asia""",FALSE,2,UNI/MOTOWN,1982-01-01
joe jackson,1983,"""Breaking Us in Two""","""joe jackson""",FALSE,2,A&M,1982
earth,1983,"""Fall in Love with Me""","[""earth"",""wind"",""fire""]",FALSE,10,Columbia/Legacy,1975-11-11
prince,1984,"""When Doves Cry""","""prince""",FALSE,11,Warner Records,1984-06-25
tina turner,1984,"""What's Love Got to Do with It""","""tina turner""",TRUE,6,Parlophone UK,1984-05-29
paul mccartney,1984,"""Say, Say, Say""","[""paul mccartney"",""michael jackson""]",FALSE,13,Paul McCartney Catalog,1983-10-28
kenny loggins,1984,"""Footloose""","""kenny loggins""",FALSE,6,Columbia/Legacy,1984
phil collins,1984,"""Against All Odds (Take a Look at Me Now)""","""phil collins""",FALSE,14,Rhino,1982-11-05
van halen,1984,"""Jump""","""van halen""",FALSE,6,Rhino/Warner Records,1984-01-04
lionel richie,1984,"""Hello""","""lionel richie""",FALSE,12,Motown,1983-01-01
yes,1984,"""Owner of a Lonely Heart""","""yes""",FALSE,2,Rhino Atlantic,1983-06-01
ray parker jr.,1984,"""Ghostbusters""","""ray parker jr.""",FALSE,3,Arista/Legacy,1993-10-12
culture club,1984,"""Karma Chameleon""","""culture club""",FALSE,6,EMI Marketing,1983-10-01
john waite,1984,"""Missing You""","""john waite""",TRUE,1,Capitol Records,1984-01-01
lionel richie,1984,"""All Night Long (All Night)""","""lionel richie""",FALSE,12,Motown,1983
deniece williams,1984,"""Let's Hear It for the Boy""","""deniece williams""",FALSE,2,Columbia/Legacy,1984
bruce springsteen,1984,"""Dancing in the Dark""","""bruce springsteen""",FALSE,9,Columbia,1984-06-04
cyndi lauper,1984,"""Girls Just Want to Have Fun""","""cyndi lauper""",TRUE,6,Portrait,1983-10-14
duran duran,1984,"""The Reflex""","""duran duran""",FALSE,11,Parlophone UK,1981-06-15
cyndi lauper,1984,"""Time After Time""","""cyndi lauper""",FALSE,6,Portrait,1983-10-14
the pointer sisters,1984,"""Jump (For My Love)""","""the pointer sisters""",FALSE,8,RCA/Legacy,1983-04-01
the romantics,1984,"""Talking in Your Sleep""","""the romantics""",TRUE,1,Legacy Recordings,1983-02-14
laura branigan,1984,"""Self Control""","""laura branigan""",FALSE,5,Rhino Atlantic,1984
prince,1984,"""Let's Go Crazy""","[""prince"",""the revolution""]",FALSE,11,Warner Records,1984-06-25
daryl hall,1984,"""Say It Isn't So""","[""daryl hall"",""john oates""]",FALSE,16,Purple Pyramid Records,1969-07-01
thompson twins,1984,"""Hold Me Now""","""thompson twins""",TRUE,3,BMG Rights Management (UK) Ltd.,1984-01-01
kool,1984,"""Joanna""","[""kool"",""the gang""]",FALSE,13,Island Def Jam,1983-11-21
stevie wonder,1984,"""I Just Called to Say I Love You""","""stevie wonder""",FALSE,18,UNI/MOTOWN,1999-11-23
rockwell,1984,"""Somebody's Watching Me""","""rockwell""",TRUE,1,UNI/MOTOWN,1984-01-30
matthew wilder,1984,"""Break My Stride""","""matthew wilder""",TRUE,1,Legacy Recordings,1983-03-19
nena,1984,"""99 Luftballons/99 Red Balloons""","""nena""",TRUE,1,BMG Rights Management GmbH,1983-09-23
dan hartman,1984,"""I Can Dream About You""","""dan hartman""",TRUE,1,Geffen,1984-05-03
sheila e.,1984,"""The Glamorous Life""","""sheila e.""",TRUE,2,Rhino/Warner Records,1984
steve perry,1984,"""Oh Sherrie""","""steve perry""",TRUE,1,Columbia/Legacy,1984-04-01
lionel richie,1984,"""Stuck on You""","""lionel richie""",FALSE,12,Motown,1983-01-01
elton john,1984,"""I Guess That's Why They Call It the Blues""","""elton john""",FALSE,28,EMI,1974-06-28
cyndi lauper,1984,"""She Bop""","""cyndi lauper""",FALSE,6,Portrait,1983-10-14
madonna,1984,"""Borderline""","""madonna""",TRUE,36,Warner Records,1983-07-27
corey hart,1984,"""Sunglasses at Night""","""corey hart""",TRUE,2,CAPITOL CATALOG MKT (C92),1983
billy idol,1984,"""Eyes Without a Face""","""billy idol""",FALSE,5,CAPITOL CATALOG MKT (C92),1983-11-01
eurythmics,1984,"""Here Comes the Rain Again""","""eurythmics""",FALSE,3,RCA Records Label,1983-11-14
billy joel,1984,"""Uptown Girl""","""billy joel""",FALSE,12,Columbia/Legacy,1973-11-07
night ranger,1984,"""Sister Christian""","""night ranger""",TRUE,3,Geffen*,1983-01-01
the cars,1984,"""Drive""","""the cars""",FALSE,5,Rhino/Elektra,1984
olivia newton-john,1984,"""Twist of Fate""","""olivia newton-john""",FALSE,13,"Universal Music Enterprises, a Division of UMG Recordings, Inc.",2002-02-05
duran duran,1984,"""Union of the Snake""","""duran duran""",FALSE,11,Parlophone UK,1983-11-21
huey lewis and the news,1984,"""The Heart of Rock & Roll""","""huey lewis and the news""",FALSE,10,Capitol Records (CAP),1983
chicago,1984,"""Hard Habit to Break""","""chicago""",FALSE,15,Rhino/Warner Records,1984
scandal,1984,"""The Warrior""","""scandal""",TRUE,1,Polydor,1980-01-01
peabo bryson,1984,"""If Ever You're in My Arms Again""","""peabo bryson""",FALSE,3,Rhino/Elektra,1984
the pointer sisters,1984,"""Automatic""","""the pointer sisters""",FALSE,8,RCA/Legacy,1983-04-01
shannon,1984,"""Let the Music Play""","""shannon""",TRUE,1,Contagious Records / Emergency Music,2000-12-01
julio iglesias,1984,"""To All the Girls I've Loved Before""","[""julio iglesias"",""willie nelson""]",TRUE,1,Columbia/Legacy,1984-08-24
billy ocean,1984,"""Caribbean Queen (No More Love on the Run)""","""billy ocean""",TRUE,6,Strut,1982-04-14
genesis,1984,"""That's All""","""genesis""",FALSE,10,Rhino Atlantic,1983-10-03
lionel richie,1984,"""Running with the Night""","""lionel richie""",FALSE,12,Motown,1983
elton john,1984,"""Sad Songs (Say So Much)""","""elton john""",FALSE,28,UMC (Universal Music Catalogue),1970-04-10
huey lewis and the news,1984,"""I Want a New Drug""","""huey lewis and the news""",FALSE,10,Capitol Records (CAP),1983
kenny rogers,1984,"""Islands in the Stream""","[""kenny rogers"",""dolly parton""]",FALSE,13,RCA/Legacy,1982-10-04
pat benatar,1984,"""Love Is a Battlefield""","""pat benatar""",FALSE,5,Chrysalis\EMI Records (USA),1983-01-01
rod stewart,1984,"""Infatuation""","""rod stewart""",FALSE,14,Mercury Records,1971-05-18
mike reno,1984,"""Almost Paradise""","[""mike reno"",""ann wilson""]",TRUE,1,Columbia/Legacy,1984
zz top,1984,"""Legs""","""zz top""",TRUE,2,BMG Rights Management (US) LLC,1983-01-01
the jacksons,1984,"""State of Shock""","""the jacksons""",FALSE,3,Epic,1984-07-02
rick springfield,1984,"""Love Somebody""","""rick springfield""",FALSE,5,Legacy Recordings,1984-04-07
culture club,1984,"""Miss Me Blind""","""culture club""",FALSE,6,EMI Marketing,1983-10-01
huey lewis and the news,1984,"""If This Is It""","""huey lewis and the news""",FALSE,10,Capitol Records (CAP),1983
the cars,1984,"""You Might Think""","""the cars""",FALSE,5,Elektra Records,1978-06-06
madonna,1984,"""Lucky Star""","""madonna""",FALSE,36,Warner Records,1983-07-27
bruce springsteen,1984,"""Cover Me""","""bruce springsteen""",FALSE,9,Columbia,1984-06-04
quiet riot,1984,"""Cum on Feel the Noize""","""quiet riot""",TRUE,1,Epic/Legacy,1983
irene cara,1984,"""Breakdance""","""irene cara""",FALSE,3,UNIDISC MUSIC INC.,1983-11-02
daryl hall,1984,"""Adult Education""","[""daryl hall"",""john oates""]",FALSE,16,RCA/Legacy,1983
tracey ullman,1984,"""They Don't Know""","""tracey ullman""",TRUE,1,Stiff Records,1983-11-25
billy joel,1984,"""An Innocent Man""","""billy joel""",FALSE,12,Columbia/Legacy,1973-11-07
bananarama,1984,"""Cruel Summer""","""bananarama""",TRUE,3,London Records (Because Ltd),1984-01-01
wang chung,1984,"""Dance Hall Days""","""wang chung""",TRUE,2,Geffen,1984-01-16
kc and the sunshine band,1984,"""Give It Up""","""kc and the sunshine band""",FALSE,7,Rhino,1975
the pointer sisters,1984,"""I'm So Excited""","""the pointer sisters""",FALSE,8,RCA/Legacy,1982-02-01
ray parker jr.,1984,"""I Still Can't Get Over Loving You""","""ray parker jr.""",FALSE,3,Legacy Recordings,1983
michael jackson,1984,"""Thriller""","""michael jackson""",FALSE,26,Epic,1982-11-30
madonna,1984,"""Holiday""","""madonna""",FALSE,36,Warner Records,1983-07-27
ollie,1984,"""Breakin'... There's No Stopping Us""","[""ollie"",""jerry""]",TRUE,1,Universal Records,1984-01-01
john lennon,1984,"""Nobody Told Me""","""john lennon""",FALSE,5,EMI Catalogue,1970-12-11
culture club,1984,"""Church of the Poison Mind""","""culture club""",FALSE,6,EMI Marketing,1983-10-01
christopher cross,1984,"""Think of Laura""","""christopher cross""",FALSE,6,Seeker Music,1979-12-20
debarge,1984,"""Time Will Reveal""","""debarge""",FALSE,4,UNI/MOTOWN,1983-09-24
the police,1984,"""Wrapped Around Your Finger""","""the police""",FALSE,5,Polydor Records,1980-10-03
john cougar mellencamp,1984,"""Pink Houses""","""john cougar mellencamp""",TRUE,5,John Mellencamp 2023 (Island),1983
ratt,1984,"""Round and Round""","""ratt""",TRUE,1,BMG Rights Management (US) LLC,1984
the go-go's,1984,"""Head over Heels""","""the go-go's""",FALSE,4,A&M,1984
billy joel,1984,"""The Longest Time""","""billy joel""",FALSE,12,Columbia/Legacy,1973-11-07
kool,1984,"""Tonight""","[""kool"",""the gang""]",FALSE,13,Island Mercury,1974-09
christine mcvie,1984,"""Got a Hold on Me""","""christine mcvie""",TRUE,1,WM Australia,1977
shalamar,1984,"""Dancing in the Sheets""","""shalamar""",FALSE,3,EMI,1971-11-05
the rolling stones,1984,"""Undercover of the Night""","""the rolling stones""",FALSE,6,"ABKCO Music and Records, Inc.",1966-04-15
john cafferty and the beaver brown band,1984,"""On the Dark Side""","""john cafferty and the beaver brown band""",TRUE,1,Volcano/Legacy,1983-03-31
duran duran,1984,"""New Moon on Monday""","""duran duran""",FALSE,11,Parlophone UK,1982-05-10
peter schilling,1984,"""Major Tom (Coming Home)""","""peter schilling""",TRUE,1,WM Germany,1982-12-03
the cars,1984,"""Magic""","""the cars""",FALSE,5,Rhino/Elektra,1979
night ranger,1984,"""When You Close Your Eyes""","""night ranger""",FALSE,3,Epic/Legacy,1972
billy squier,1984,"""Rock Me Tonite""","""billy squier""",FALSE,2,Capitol Records,1981
james ingram,1984,"""Yah Mo B There""","[""james ingram"",""michael mcdonald""]",TRUE,2,Qwest Records IGA,1983-01-01
wham!,1985,"""Careless Whisper""","""wham!""",TRUE,7,V2,1991-09-24
madonna,1985,"""Like a Virgin""","""madonna""",FALSE,36,Warner Records,1984-11-12
wham!,1985,"""Wake Me Up Before You Go-Go""","""wham!""",FALSE,7,Columbia,1984-10-23
foreigner,1985,"""I Want to Know What Love Is""","""foreigner""",FALSE,9,Atlantic Records,1984-12-12
chaka khan,1985,"""I Feel for You""","""chaka khan""",TRUE,1,Rhino/Warner Records,1984
daryl hall,1985,"""Out of Touch""","[""daryl hall"",""john oates""]",FALSE,16,RCA Records Label,2001-01-23
tears for fears,1985,"""Everybody Wants to Rule the World""","""tears for fears""",TRUE,5,UMC (Universal Music Catalogue),1985-02-25
dire straits,1985,"""Money for Nothing""","""dire straits""",FALSE,3,Warner Records,1985-05-13
madonna,1985,"""Crazy for You""","""madonna""",FALSE,36,Sire/Warner Records,1990
a-ha,1985,"""Take On Me""","""a-ha""",TRUE,1,Rhino,1985-06-01
paul young,1985,"""Everytime You Go Away""","""paul young""",TRUE,2,M.i.G - music,1985
philip bailey,1985,"""Easy Lover""","[""philip bailey"",""phil collins""]",TRUE,1,Columbia/Legacy,1984-10-01
