primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappears_after_first,reappearance_count,sqrt_reappearance,row_id,title_clean,artist_clean,track_id,genre,duration_ms,duration_sec,clean_title,search_artist,genre_final,lastfm_genre
samantha sang,1978,"""Emotion""","""samantha sang""",TRUE,1,Private Stock Records,1977-12-06,Private Stock Records,1970,FALSE,14,FALSE,0,0,204,emotion,samantha sang,TRLYOMR12903CE94CD,World	Pop,237293,237.293,Emotion,samantha sang,World	Pop,pop
billy joel,1978,"""Just the Way You Are""","""billy joel""",TRUE,12,Columbia/Legacy,1977,Columbia; Legacy,1970,TRUE,17,TRUE,11,3.3166247903554,205,just the way you are,billy joel,NA,NA,290573,290.573,Just the Way You Are,billy joel,jazz,pop
yvonne elliman,1978,"""If I Can't Have You""","""yvonne elliman""",TRUE,1,Bee Gees Catalog,1977-11-15,Bee Gees Catalog,1970,FALSE,19,FALSE,0,0,206,if i cant have you,yvonne elliman,TRBYRNE128F422B8DE,Pop,177960,177.96,If I Can't Have You,yvonne elliman,Pop,pop
chic,1978,"""Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)""","""chic""",TRUE,4,Rhino Atlantic,1977-01-01,Rhino Atlantic,1970,TRUE,20,TRUE,3,1.73205080756888,207,dance dance dance yowsah yowsah yowsah,chic,TRBPBBH128F4234B4D,NA,501466,501.466,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",chic,jazz,rock
chuck mangione,1978,"""Feels So Good""","""chuck mangione""",TRUE,1,A&M,1977-12-08,A&M,1970,FALSE,21,FALSE,0,0,208,feels so good,chuck mangione,TRRKKDW128F1498A23,Jazz,582733,582.733,Feels So Good,chuck mangione,Jazz,jazz
nick gilder,1978,"""Hot Child in the City""","""nick gilder""",TRUE,1,Renaissance Records,1980-08-27,Renaissance Records,1970,FALSE,22,FALSE,0,0,209,hot child in the city,nick gilder,NA,NA,215092,215.092,Hot Child in the City,nick gilder,pop rock,rock
bonnie tyler,1978,"""It's a Heartache""","""bonnie tyler""",TRUE,2,Grapefruit Records,1976-01-01,Grapefruit Records,1970,FALSE,24,TRUE,1,1,210,its a heartache,bonnie tyler,TRMWFPK128F42766A3,Pop	Rock,215160,215.16,It's a Heartache,bonnie tyler,Pop	Rock,pop
gerry rafferty,1978,"""Baker Street""","""gerry rafferty""",TRUE,1,Parlophone UK,1978,Parlophone UK,1970,FALSE,26,FALSE,0,0,211,baker street,gerry rafferty,TRONIEW128F14AADAF,Rock,365626,365.626,Baker Street,gerry rafferty,Rock,rock
johnny mathis,1978,"""Too Much, Too Little, Too Late""","[""johnny mathis"",""deniece williams""]",TRUE,1,Columbia,1978,Columbia,1970,TRUE,28,FALSE,0,0,212,too much too little too late,johnny mathis,NA,NA,176480,176.48,"Too Much, Too Little, Too Late",johnny mathis & deniece williams,NA,pop
peter brown,1978,"""Dance With Me""","""peter brown""",TRUE,1,Rhino,1977,Rhino,1970,TRUE,29,FALSE,0,0,213,dance with me,peter brown,TRTTUVS128E0784217,Pop,319226,319.226,Dance With Me,peter brown,Pop,NA
meat loaf,1978,"""Two Out of Three Ain't Bad""","""meat loaf""",TRUE,4,Cleveland International/ Epic/Legacy,1977-10-21,Cleveland International; Epic; Legacy,1970,TRUE,30,TRUE,3,1.73205080756888,214,two out of three aint bad,meat loaf,NA,NA,324440,324.44,Two Out of Three Ain't Bad,meat loaf,pop rock,rock
raydio,1978,"""Jack And Jill""","""raydio""",TRUE,3,Legacy Recordings,1978-05-07,Legacy Recordings,1970,FALSE,31,TRUE,2,1.4142135623731,215,jack and jill,raydio,NA,NA,275666,275.666,Jack And Jill,raydio,NA,pop
dan hill,1978,"""Sometimes When We Touch""","""dan hill""",TRUE,2,Anthem Records,1977,Anthem Records,1970,FALSE,33,TRUE,1,1,216,sometimes when we touch,dan hill,NA,NA,252693,252.693,Sometimes When We Touch,dan hill,NA,pop
walter egan,1978,"""Magnet and Steel""","""walter egan""",TRUE,1,Legacy Recordings,1978-05-09,Legacy Recordings,1970,FALSE,40,FALSE,0,0,217,magnet and steel,walter egan,TRMXOPS12903CB7638,Pop	Rock,204760,204.76,Magnet and Steel,walter egan,Pop	Rock,pop
the knack,1979,"""My Sharona""","""the knack""",TRUE,1,Capitol Records,1979-01-01,Capitol Records,1970,TRUE,1,FALSE,0,0,218,my sharona,the knack,TRCFQHK12903CB0D57,Pop	Rock,295400,295.4,My Sharona,the knack,Pop	Rock,rock
peaches,1979,"""Reunited""","[""peaches"",""herb""]",TRUE,3,Universal Records,1978-01-01,Universal Records,1970,FALSE,5,TRUE,2,1.4142135623731,219,reunited,peaches,NA,NA,345240,345.24,Reunited,peaches & herb,electronic,pop
village people,1979,"""Y.M.C.A.""","""village people""",TRUE,2,Mercury Records,1978,Mercury Records,1970,FALSE,8,FALSE,1,1,220,ymca,village people,TRUQQVY128F93061C2,NA,286666,286.666,Y.M.C.A.,village people,reggae,pop
anita ward,1979,"""Ring My Bell""","""anita ward""",TRUE,1,Juana Records,1979-01-01,Juana Records,1970,FALSE,9,FALSE,0,0,221,ring my bell,anita ward,TRMAKGI128F92E9CE1,NA,491933,491.933,Ring My Bell,anita ward,NA,pop
david naughton,1979,"""Makin' It""","""david naughton""",TRUE,1,RCA/Legacy,1996-08-06,RCA; Legacy,1970,TRUE,14,FALSE,0,0,222,makin it,david naughton,NA,NA,189582,189.582,Makin' It,david naughton,NA,pop
blondie,1979,"""Heart of Glass""","""blondie""",TRUE,4,Chrysalis\EMI Records (USA),1978-09-23,Chrysalis\EMI Records (USA),1970,FALSE,18,TRUE,3,1.73205080756888,223,heart of glass,blondie,TRGOCVT128F428BC83,Rock,229423,229.423,Heart of Glass,blondie,Rock,pop
amii stewart,1979,"""Knock on Wood""","""amii stewart""",TRUE,1,Red Zone Entertainment / IDJ,2012-07-10,Red Zone Entertainment; IDJ,1970,FALSE,22,FALSE,0,0,224,knock on wood,amii stewart,NA,NA,248720,248.72,Knock on Wood,amii stewart,electronic,pop
suzi quatro,1979,"""Stumblin' In""","[""suzi quatro"",""chris norman""]",TRUE,1,Sony Music Catalog,1978,Sony Music Catalog,1970,FALSE,23,FALSE,0,0,225,stumblin in,suzi quatro,TRWDMAP128F4227558,NA,239611,239.611,Stumblin' In,suzi quatro & chris norman,NA,pop
randy vanwarmer,1979,"""Just When I Needed You Most""","""randy vanwarmer""",TRUE,1,Rhino,1979,Rhino,1970,TRUE,29,FALSE,0,0,226,just when i needed you most,randy vanwarmer,TRBDIRK12903C9747B,NA,241746,241.746,Just When I Needed You Most,randy vanwarmer,country,pop
cheap trick,1979,"""I Want You to Want Me""","""cheap trick""",TRUE,3,Epic/Legacy,1977-09,Epic; Legacy,1970,TRUE,34,TRUE,2,1.4142135623731,227,i want you to want me,cheap trick,TRMOYVY128F42803AA,NA,191226,191.226,I Want You to Want Me,cheap trick,pop rock,rock
leif garrett,1979,"""I Was Made for Dancin'""","""leif garrett""",TRUE,1,Volcano,1998-07-22,Volcano,1970,FALSE,37,FALSE,0,0,228,i was made for dancin,leif garrett,TRWBODC128F422DD33,NA,196440,196.44,I Was Made for Dancin',leif garrett,NA,pop
lipps inc.,1980,"""Funkytown""","""lipps inc.""",TRUE,1,Polydor,1979-11-01,Polydor,1980,FALSE,8,FALSE,0,0,229,funkytown,lipps inc,TRFDPCR128F422B88F,NA,239226,239.226,Funkytown,lipps inc.,electronic,pop
rupert holmes,1980,"""Escape (The Piña Colada Song)""","""rupert holmes""",TRUE,2,Geffen*,1979-01-01,Geffen*,1980,FALSE,11,FALSE,1,1,230,escape the pia colada song,rupert holmes,TRFDUDF128F92DE61E,Pop	Rock,276493,276.493,Escape (The Piña Colada Song),rupert holmes,Pop	Rock,pop
gary numan,1980,"""Cars""","""gary numan""",TRUE,1,Beggars Banquet,1979-09-07,Beggars Banquet,1980,FALSE,12,FALSE,0,0,231,cars,gary numan,TRRUNLP128E0782C7A,Rock,238906,238.906,Cars,gary numan,Rock,electronic
smokey robinson,1980,"""Cruisin""","""smokey robinson""",TRUE,3,UNI/MOTOWN,1979-05-22,UNI; MOTOWN,1980,TRUE,13,TRUE,2,1.4142135623731,232,cruisin,smokey robinson,TRGRRQC128F148BE34,RnB,352920,352.92,Cruisin,smokey robinson,RnB,NA
air supply,1980,"""Lost in Love""","""air supply""",TRUE,8,Arista,1980-02-25,Arista,1980,FALSE,15,TRUE,7,2.64575131106459,233,lost in love,air supply,TRMEDWM128F428BE8F,NA,233866,233.866,Lost in Love,air supply,pop rock,pop
christopher cross,1980,"""Ride Like the Wind""","""christopher cross""",TRUE,6,Seeker Music,1979-12-20,Seeker Music,1980,FALSE,17,TRUE,5,2.23606797749979,234,ride like the wind,christopher cross,NA,NA,275506,275.506,Ride Like the Wind,christopher cross,pop rock,pop
teri desario,1980,"""Yes, I'm Ready""","[""teri desario"",""kc""]",TRUE,1,Arctic,1965-01-01,Arctic,1980,FALSE,24,FALSE,0,0,235,yes im ready,teri desario,NA,NA,198600,198.6,"Yes, I'm Ready",teri desario & kc,NA,NA
robbie dupree,1980,"""Steal Away""","""robbie dupree""",TRUE,1,Blixa Sounds,1980-12-01,Blixa Sounds,1980,FALSE,26,FALSE,0,0,236,steal away,robbie dupree,TREYDDA12903CD6159,Pop	Rock,213973,213.973,Steal Away,robbie dupree,Pop	Rock,pop
dan fogelberg,1980,"""Longer""","""dan fogelberg""",TRUE,3,Full Moon,1979-11,Full Moon,1980,FALSE,33,TRUE,2,1.4142135623731,237,longer,dan fogelberg,TRNZWZH128F4269921,Rock,195066,195.066,Longer,dan fogelberg,Rock,folk
the s.o.s. band,1980,"""Take Your Time (Do It Right)""","""the s.o.s. band""",TRUE,1,SoSouth,1998-02-28,SoSouth,1980,FALSE,37,FALSE,0,0,238,take your time do it right,the sos band,NA,NA,460800,460.8,Take Your Time (Do It Right),the s.o.s. band,NA,pop
kim carnes,1980,"""More Love""","""kim carnes""",TRUE,2,CAPITOL CATALOG MKT (C92),1980-06-01,CAPITOL CATALOG MKT (C92),1980,FALSE,39,TRUE,1,1,239,more love,kim carnes,TRZDRDF128F145BA53,Pop	Rock,215986,215.986,More Love,kim carnes,Pop	Rock,pop
m,1980,"""Pop Muzik""","""m""",TRUE,1,Metro,1979-01-01,Metro,1980,FALSE,40,FALSE,0,0,240,pop muzik,m,TRQEDPI128F932748D,NA,200682,200.682,Pop Muzik,m,electronic,pop
reo speedwagon,1981,"""Keep on Loving You""","""reo speedwagon""",TRUE,4,Epic,1976-05-21,Epic,1980,FALSE,10,TRUE,3,1.73205080756888,241,keep on loving you,reo speedwagon,TRZAJZO128F9313EB7,NA,200293,200.293,Keep on Loving You,reo speedwagon,pop rock,rock
joey scarbury,1981,"""Theme from The Greatest American Hero (Believe It or Not)""","""joey scarbury""",TRUE,1,Rhino/Elektra,1981,Rhino; Elektra,1980,TRUE,11,FALSE,0,0,242,theme from the greatest american hero believe it or not,joey scarbury,NA,NA,195293,195.293,Theme from The Greatest American Hero (Believe It or Not),joey scarbury,NA,NA
sheena easton,1981,"""Morning Train (Nine to Five)""","""sheena easton""",TRUE,7,RT Industries,1981,RT Industries,1980,FALSE,12,TRUE,6,2.44948974278318,243,morning train nine to five,sheena easton,TRVNYXT128F424ED26,Pop	Rock,200826,200.826,Morning Train (Nine to Five),sheena easton,Pop	Rock,pop
juice newton,1981,"""Queen of Hearts""","""juice newton""",TRUE,4,EMI Music Nashville (ERN),1981-01-01,EMI Music Nashville (ERN),1980,FALSE,14,TRUE,3,1.73205080756888,244,queen of hearts,juice newton,TRQFDMK128F4261E4E,Country,205826,205.826,Queen of Hearts,juice newton,Country,country
grover washington,1981,"""Just the Two of Us""","[""grover washington"",""jr."",""bill withers""]",TRUE,1,Rhino/Elektra,1985,Rhino; Elektra,1980,TRUE,18,FALSE,0,0,245,just the two of us,grover washington,NA,NA,438493,438.493,Just the Two of Us,grover washington & jr. & bill withers,NA,NA
stars on 45,1981,"""Stars on 45 Medley""","""stars on 45""",TRUE,1,Red Bullet,1981-03-06,Red Bullet,1980,FALSE,24,FALSE,0,0,246,stars on 45 medley,stars on 45,NA,NA,233213,233.213,Stars on 45 Medley,stars on 45,NA,pop
the oak ridge boys,1981,"""Elvira""","""the oak ridge boys""",TRUE,1,Geffen*,1981-01-01,Geffen*,1980,FALSE,31,FALSE,0,0,247,elvira,the oak ridge boys,TRZXLJP128F92E8213,Country,225626,225.626,Elvira,the oak ridge boys,Country,country
the manhattan transfer,1981,"""The Boy from New York City""","""the manhattan transfer""",TRUE,1,Craft Recordings,1981-06-01,Craft Recordings,1980,FALSE,36,FALSE,0,0,248,the boy from new york city,the manhattan transfer,NA,NA,222160,222.16,The Boy from New York City,the manhattan transfer,NA,pop
survivor,1982,"""Eye of the Tiger""","""survivor""",TRUE,5,Volcano,1982,Volcano,1980,FALSE,2,TRUE,4,2,249,eye of the tiger,survivor,TRHDJDB128F930527A,NA,243773,243.773,Eye of the Tiger,survivor,pop rock,rock
joan jett,1982,"""I Love Rock 'n Roll""","[""joan jett"",""the blackhearts""]",TRUE,2,Legacy Recordings,1981-11-18,Legacy Recordings,1980,FALSE,3,FALSE,1,1,250,i love rock n roll,joan jett,NA,NA,175173,175.173,I Love Rock 'n Roll,joan jett & the blackhearts,NA,rock
the j. geils band,1982,"""Centerfold""","""the j. geils band""",TRUE,2,EMI/EMI Records (USA),1981,EMI; EMI Records (USA),1980,FALSE,5,FALSE,1,1,251,centerfold,the j geils band,NA,NA,216533,216.533,Centerfold,the j. geils band,pop rock,rock
the human league,1982,"""Don't You Want Me""","""the human league""",TRUE,3,Virgin Records,1981,Virgin Records,1980,FALSE,6,TRUE,2,1.4142135623731,252,dont you want me,the human league,TRUWUET12903CD89CC,Pop	Rock,236920,236.92,Don't You Want Me,the human league,Pop	Rock,pop
soft cell,1982,"""Tainted Love""","""soft cell""",TRUE,1,EMI,1981,EMI,1980,FALSE,11,FALSE,0,0,253,tainted love,soft cell,TRIFEQF128F92F0344,NA,153800,153.8,Tainted Love,soft cell,electronic,pop
vangelis,1982,"""Chariots of Fire""","""vangelis""",TRUE,1,UMC (Universal Music Catalogue),1981-03-14,UMC (Universal Music Catalogue),1980,FALSE,12,FALSE,0,0,254,chariots of fire,vangelis,TRMRPOD128E07911C1,New Age,202805,202.805,Chariots of Fire,vangelis,New Age,new age
quarterflash,1982,"""Harden My Heart""","""quarterflash""",TRUE,2,Geffen,1981-01-01,Geffen,1980,FALSE,13,TRUE,1,1,255,harden my heart,quarterflash,NA,NA,232626,232.626,Harden My Heart,quarterflash,pop rock,rock
tommy tutone,1982,"""867-5309/Jenny""","""tommy tutone""",TRUE,1,Columbia,1981-12-04,Columbia,1980,TRUE,16,FALSE,0,0,256,8675309jenny,tommy tutone,TRFYHZV12903C9F345,Rock,226200,226.2,867-5309/Jenny,tommy tutone,Rock,rock
bertie higgins,1982,"""Key Largo""","""bertie higgins""",TRUE,1,Toucan Cove,2005-07-19,Toucan Cove,1980,FALSE,17,FALSE,0,0,257,key largo,bertie higgins,TRANHIR128F9323741,Rock,198946,198.946,Key Largo,bertie higgins,Rock,pop
willie nelson,1982,"""Always on My Mind""","""willie nelson""",TRUE,1,Legacy/Columbia,1975-01-01,Legacy; Columbia,1980,TRUE,22,FALSE,0,0,258,always on my mind,willie nelson,NA,NA,212666,212.666,Always on My Mind,willie nelson,country,country
the cars,1982,"""Shake It Up""","""the cars""",TRUE,5,Rhino/Elektra,1981,Rhino; Elektra,1980,TRUE,23,TRUE,4,2,259,shake it up,the cars,NA,NA,211960,211.96,Shake It Up,the cars,pop rock,rock
dazz band,1982,"""Let It Whip""","""dazz band""",TRUE,1,UNI/MOTOWN,1982-01-01,UNI; MOTOWN,1980,TRUE,24,FALSE,0,0,260,let it whip,dazz band,TRMKXZY128F422B8F1,NA,281280,281.28,Let It Whip,dazz band,r&b,pop
the go-go's,1982,"""We Got the Beat""","""the go-go's""",TRUE,4,A&M,1981-01-01,A&M,1980,FALSE,25,TRUE,3,1.73205080756888,261,we got the beat,the gogos,NA,NA,153133,153.133,We Got the Beat,the go-go's,pop rock,pop
ray parker jr.,1982,"""The Other Woman""","""ray parker jr.""",TRUE,3,Legacy Recordings,1982,Legacy Recordings,1980,FALSE,26,TRUE,2,1.4142135623731,262,the other woman,ray parker jr,NA,NA,247960,247.96,The Other Woman,ray parker jr.,NA,pop
the motels,1982,"""Only the Lonely""","""the motels""",TRUE,1,Legacy Recordings,1961,Legacy Recordings,1980,FALSE,29,FALSE,0,0,263,only the lonely,the motels,TRQGWYZ128F9335B5A,Pop	Rock,196200,196.2,Only the Lonely,the motels,Pop	Rock,pop
men at work,1982,"""Who Can It Be Now?""","""men at work""",TRUE,4,Columbia/Legacy,1981,Columbia; Legacy,1980,TRUE,30,TRUE,3,1.73205080756888,264,who can it be now,men at work,NA,NA,201293,201.293,Who Can It Be Now?,men at work,pop rock,pop
charlene,1982,"""I've Never Been to Me""","""charlene""",TRUE,1,UNI/MOTOWN,1982-01-01,UNI; MOTOWN,1980,TRUE,38,FALSE,0,0,265,ive never been to me,charlene,NA,NA,234773,234.773,I've Never Been to Me,charlene,country,pop
asia,1982,"""Heat of the Moment""","""asia""",TRUE,2,Geffen,1982-03-08,Geffen,1980,FALSE,40,TRUE,1,1,266,heat of the moment,asia,NA,NA,227893,227.893,Heat of the Moment,asia,pop rock,rock
patti austin,1983,"""Baby, Come to Me""","[""patti austin"",""james ingram""]",TRUE,1,Craft Recordings,1981-12-15,Craft Recordings,1980,FALSE,8,FALSE,0,0,267,baby come to me,patti austin,NA,NA,215386,215.386,"Baby, Come to Me",patti austin & james ingram,NA,NA
michael sembello,1983,"""Maniac""","""michael sembello""",TRUE,1,Mercury Records,1983-04-11,Mercury Records,1980,FALSE,9,FALSE,0,0,268,maniac,michael sembello,TRMKELO128F92FF72A,NA,244706,244.706,Maniac,michael sembello,electronic,pop
eurythmics,1983,"""Sweet Dreams (Are Made of This)""","""eurythmics""",TRUE,3,RCA Records Label,1983-01-04,RCA Records Label,1980,FALSE,10,TRUE,2,1.4142135623731,269,sweet dreams are made of this,eurythmics,TRBMXRE128F428F8E7,NA,216933,216.933,Sweet Dreams (Are Made of This),eurythmics,electronic,pop
culture club,1983,"""Do You Really Want to Hurt Me""","""culture club""",TRUE,6,Virgin Catalogue,1982-09-01,Virgin Catalogue,1980,FALSE,11,TRUE,5,2.23606797749979,270,do you really want to hurt me,culture club,TRONMTE128F1458B51,Pop	Rock,262173,262.173,Do You Really Want to Hurt Me,culture club,Pop	Rock,pop
dexys midnight runners,1983,"""Come On Eileen""","""dexys midnight runners""",TRUE,1,Mercury Nashville,1982-07-22,Mercury Nashville,1980,FALSE,13,FALSE,0,0,271,come on eileen,dexys midnight runners,TRCHYGM128F9312EB0,Pop	Rock,287306,287.306,Come On Eileen,dexys midnight runners,Pop	Rock,pop
sérgio mendes,1983,"""Never Gonna Let You Go""","""sérgio mendes""",TRUE,1,A&M,1983,A&M,1980,FALSE,16,FALSE,0,0,272,never gonna let you go,srgio mendes,TRPAGFL128F147A308,Pop	Rock,255600,255.6,Never Gonna Let You Go,sérgio mendes,Pop	Rock,pop
duran duran,1983,"""Hungry Like the Wolf""","""duran duran""",TRUE,11,Parlophone UK,1982-05-10,Parlophone UK,1980,FALSE,17,TRUE,10,3.16227766016838,273,hungry like the wolf,duran duran,TRRLYDF128F14559D4,Pop	Rock,220626,220.626,Hungry Like the Wolf,duran duran,Pop	Rock,pop
frida,1983,"""I Know There's Something Going On""","""frida""",TRUE,1,Polar Music International AB,1982-08,Polar Music International AB,1980,FALSE,20,FALSE,0,0,274,i know theres something going on,frida,TRNIYIH128F429D9A9,NA,326746,326.746,I Know There's Something Going On,frida,pop rock,pop
eddy grant,1983,"""Electric Avenue""","""eddy grant""",TRUE,1,Big Eye Music,2011-02-01,Big Eye Music,1980,FALSE,22,FALSE,0,0,275,electric avenue,eddy grant,TRPYQRJ128F42B81C1,Reggae	Rock,227933,227.933,Electric Avenue,eddy grant,Reggae	Rock,reggae
thomas dolby,1983,"""She Blinded Me with Science""","""thomas dolby""",TRUE,1,Echo,1983-12-09,Echo,1980,FALSE,23,FALSE,0,0,276,she blinded me with science,thomas dolby,TRMINCZ128F932A5B6,NA,221266,221.266,She Blinded Me with Science,thomas dolby,electronic,electronic
lionel richie,1983,"""You Are""","""lionel richie""",TRUE,12,UNI/MOTOWN,1982,UNI; MOTOWN,1980,TRUE,29,TRUE,11,3.3166247903554,277,you are,lionel richie,NA,NA,300880,300.88,You Are,lionel richie,NA,pop
after the fire,1983,"""Der Kommissar""","""after the fire""",TRUE,1,Columbia,1982-08-21,Columbia,1980,TRUE,30,FALSE,0,0,278,der kommissar,after the fire,TRLHVCR128F427BE2F,Rock,248000,248,Der Kommissar,after the fire,Rock,pop
taco,1983,"""Puttin' on the Ritz""","""taco""",TRUE,1,Aviator-Entertainment,1982-01-01,Aviator-Entertainment,1980,FALSE,31,FALSE,0,0,279,puttin on the ritz,taco,TRMTDVT128F149B044,Pop	Rock,281160,281.16,Puttin' on the Ritz,taco,Pop	Rock,pop
men without hats,1983,"""The Safety Dance""","""men without hats""",TRUE,1,Geffen,1982-04-01,Geffen,1980,FALSE,35,FALSE,0,0,280,the safety dance,men without hats,TRUWQIE12903CE10F8,Pop	Rock,165506,165.506,The Safety Dance,men without hats,Pop	Rock,pop
toni basil,1983,"""Mickey""","""toni basil""",TRUE,1,FFRC,1982-01-08,FFRC,1980,FALSE,36,FALSE,0,0,281,mickey,toni basil,TRWUJSG128F93331F0,Rock,252885,252.885,Mickey,toni basil,Rock,pop
phil collins,1983,"""You Can't Hurry Love""","""phil collins""",TRUE,14,Rhino,1982-11-05,Rhino,1980,TRUE,37,TRUE,13,3.60555127546399,282,you cant hurry love,phil collins,TRDQDOY128F147FC9E,Pop	Rock,175746,175.746,You Can't Hurry Love,phil collins,Pop	Rock,pop
tina turner,1984,"""What's Love Got to Do with It""","""tina turner""",TRUE,6,Parlophone UK,1984-05-29,Parlophone UK,1980,FALSE,2,TRUE,5,2.23606797749979,283,whats love got to do with it,tina turner,NA,NA,230240,230.24,What's Love Got to Do with It,tina turner,pop rock,pop
john waite,1984,"""Missing You""","""john waite""",TRUE,1,Capitol Records,1984-01-01,Capitol Records,1980,TRUE,11,FALSE,0,0,284,missing you,john waite,TRMSMQF128F9364C5C,Pop	Rock,269760,269.76,Missing You,john waite,Pop	Rock,pop
cyndi lauper,1984,"""Girls Just Want to Have Fun""","""cyndi lauper""",TRUE,6,Portrait,1983-10-14,Portrait,1980,FALSE,15,TRUE,5,2.23606797749979,285,girls just want to have fun,cyndi lauper,TRGUQSQ128F425F6A3,NA,238266,238.266,Girls Just Want to Have Fun,cyndi lauper,pop rock,pop
the romantics,1984,"""Talking in Your Sleep""","""the romantics""",TRUE,1,Legacy Recordings,1983-02-14,Legacy Recordings,1980,FALSE,19,FALSE,0,0,286,talking in your sleep,the romantics,TRNEVTH128F426C310,Rock,236625,236.625,Talking in Your Sleep,the romantics,Rock,pop
thompson twins,1984,"""Hold Me Now""","""thompson twins""",TRUE,3,BMG Rights Management (UK) Ltd.,1984-01-01,BMG Rights Management (UK) Ltd.,1980,FALSE,23,TRUE,2,1.4142135623731,287,hold me now,thompson twins,TRFRMJC128F428D15C,Pop	Rock,286226,286.226,Hold Me Now,thompson twins,Pop	Rock,pop
rockwell,1984,"""Somebody's Watching Me""","""rockwell""",TRUE,1,UNI/MOTOWN,1984-01-30,UNI; MOTOWN,1980,TRUE,26,FALSE,0,0,288,somebodys watching me,rockwell,TRNRUVQ128F147CD09,Pop	Rock,293933,293.933,Somebody's Watching Me,rockwell,Pop	Rock,pop
matthew wilder,1984,"""Break My Stride""","""matthew wilder""",TRUE,1,Legacy Recordings,1983-03-19,Legacy Recordings,1980,FALSE,27,FALSE,0,0,289,break my stride,matthew wilder,TRMJNGK128F92DF7C9,NA,184480,184.48,Break My Stride,matthew wilder,reggae,pop
nena,1984,"""99 Luftballons/99 Red Balloons""","""nena""",TRUE,1,BMG Rights Management GmbH,1983-09-23,BMG Rights Management GmbH,1980,FALSE,28,FALSE,0,0,290,99 luftballons99 red balloons,nena,NA,NA,230666,230.666,99 Luftballons/99 Red Balloons,nena,NA,NA
dan hartman,1984,"""I Can Dream About You""","""dan hartman""",TRUE,1,Geffen,1984-05-03,Geffen,1980,FALSE,29,FALSE,0,0,291,i can dream about you,dan hartman,TRZXWCO128F4265D5E,NA,252600,252.6,I Can Dream About You,dan hartman,pop rock,pop
sheila e.,1984,"""The Glamorous Life""","""sheila e.""",TRUE,2,Rhino/Warner Records,1984,Rhino; Warner Records,1980,TRUE,30,TRUE,1,1,292,the glamorous life,sheila e,NA,NA,543560,543.56,The Glamorous Life,sheila e.,r&b,pop
steve perry,1984,"""Oh Sherrie""","""steve perry""",TRUE,1,Columbia/Legacy,1984-04-01,Columbia; Legacy,1980,TRUE,31,FALSE,0,0,293,oh sherrie,steve perry,TREBXDI128F42BC4CF,Rock,229346,229.346,Oh Sherrie,steve perry,Rock,rock
madonna,1984,"""Borderline""","""madonna""",TRUE,36,Warner Records,1983-07-27,Warner Records,1980,FALSE,35,TRUE,35,5.91607978309962,294,borderline,madonna,TRDFUQS12903CCEFD0,Pop	Rock,238360,238.36,Borderline,madonna,Pop	Rock,pop
corey hart,1984,"""Sunglasses at Night""","""corey hart""",TRUE,2,CAPITOL CATALOG MKT (C92),1983,CAPITOL CATALOG MKT (C92),1980,FALSE,36,TRUE,1,1,295,sunglasses at night,corey hart,TRFOKHN128F145B450,Pop	Rock,320000,320,Sunglasses at Night,corey hart,Pop	Rock,pop
night ranger,1984,"""Sister Christian""","""night ranger""",TRUE,3,Geffen*,1983-01-01,Geffen*,1980,FALSE,40,TRUE,2,1.4142135623731,296,sister christian,night ranger,TRXDXRG128F14566DC,Rock,302933,302.933,Sister Christian,night ranger,Rock,rock
wham!,1985,"""Careless Whisper""","""wham!""",TRUE,7,V2,1991-09-24,V2,1980,FALSE,1,TRUE,6,2.44948974278318,297,careless whisper,wham,NA,NA,299800,299.8,Careless Whisper,wham!,vocal,pop
chaka khan,1985,"""I Feel for You""","""chaka khan""",TRUE,1,Rhino/Warner Records,1984,Rhino; Warner Records,1980,TRUE,5,FALSE,0,0,298,i feel for you,chaka khan,NA,NA,343400,343.4,I Feel for You,chaka khan,r&b,pop
tears for fears,1985,"""Everybody Wants to Rule the World""","""tears for fears""",TRUE,5,UMC (Universal Music Catalogue),1985-02-25,UMC (Universal Music Catalogue),1980,FALSE,7,TRUE,4,2,299,everybody wants to rule the world,tears for fears,TRWEAYH128F1470868,NA,251488,251.488,Everybody Wants to Rule the World,tears for fears,pop rock,pop
a-ha,1985,"""Take On Me""","""a-ha""",TRUE,1,Rhino,1985-06-01,Rhino,1980,TRUE,10,FALSE,0,0,300,take on me,aha,TRESQWD128F933AD38,Pop,225280,225.28,Take On Me,a-ha,Pop,pop
paul young,1985,"""Everytime You Go Away""","""paul young""",TRUE,2,M.i.G - music,1985,M.i.G - music,1980,FALSE,11,TRUE,1,1,301,everytime you go away,paul young,NA,NA,321573,321.573,Everytime You Go Away,paul young,NA,pop
philip bailey,1985,"""Easy Lover""","[""philip bailey"",""phil collins""]",TRUE,1,Columbia/Legacy,1984-10-01,Columbia; Legacy,1980,TRUE,12,FALSE,0,0,302,easy lover,philip bailey,NA,NA,305866,305.866,Easy Lover,philip bailey & phil collins,pop rock,pop
starship,1985,"""We Built This City""","""starship""",TRUE,3,Rhino,1985-09-10,Rhino,1980,TRUE,14,TRUE,2,1.4142135623731,303,we built this city,starship,TRCGAQU128F9364C33,Rock,296080,296.08,We Built This City,starship,Rock,pop
