primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label
three dog night,1974,"""The Show Must Go On""","""three dog night""",FALSE,7,Three Dog Night,1971,,1970s,FALSE
the hues corporation,1974,"""Rock the Boat""","""the hues corporation""",TRUE,1,RCA Victor,1973,,1970s,FALSE
brownsville station,1974,"""Smokin' in the Boys Room""","""brownsville station""",TRUE,1,Rhino Atlantic,1973,,1970s,TRUE
stevie wonder,1974,"""Living for the City""","""stevie wonder""",FALSE,18,Motown,1973-08-03,,1970s,FALSE
dionne warwick,1974,"""Then Came You""","[""dionne warwick"",""the spinners""]",FALSE,5,Rhino/Warner Records,1975,,1970s,TRUE
paper lace,1974,"""The Night Chicago Died""","""paper lace""",TRUE,1,UMC (Universal Music Catalogue),1974-01-01,,1970s,FALSE
marvin hamlisch,1974,"""The Entertainer""","""marvin hamlisch""",TRUE,1,Geffen*,1974-01-01,,1970s,FALSE
abba,1974,"""Waterloo""","""abba""",TRUE,6,Polar Music International AB,1974,,1970s,FALSE
the hollies,1974,"""The Air That I Breathe""","""the hollies""",FALSE,3,BMG Rights Management (US) LLC,1970-11-01,,1970s,FALSE
steely dan,1974,"""Rikki Don't Lose That Number""","""steely dan""",FALSE,6,Geffen,1972-11-01,,1970s,FALSE
carly simon,1974,"""Mockingbird""","[""carly simon"",""james taylor""]",FALSE,6,Rhino/Elektra,1974,,1970s,TRUE
joni mitchell,1974,"""Help Me""","""joni mitchell""",TRUE,1,Rhino,1971-06-22,,1970s,TRUE
anne murray,1974,"""You Won't See Me""","""anne murray""",FALSE,8,EMI Music Canada,1974,,1970s,FALSE
barry white,1974,"""Never, Never Gonna Give You Up""","""barry white""",FALSE,3,Michele Records,1975,,1970s,FALSE
rufus,1974,"""Tell Me Something Good""","[""rufus"",""chaka khan""]",TRUE,3,Geffen*,1974-01-01,,1970s,FALSE
helen reddy,1974,"""You and Me Against the World""","""helen reddy""",FALSE,7,Capitol Records,1987-01-01,,1970s,TRUE
the righteous brothers,1974,"""Rock and Roll Heaven""","""the righteous brothers""",TRUE,1,Curb Records,1991-01-21,,1970s,FALSE
kool,1974,"""Hollywood Swinging""","[""kool"",""the gang""]",FALSE,13,Island Mercury,1973-09,,1970s,FALSE
william devaughn,1974,"""Be Thankful for What You Got""","""william devaughn""",TRUE,1,UNIDISC MUSIC INC.,1980-01-01,,1970s,FALSE
johnny bristol,1974,"""Hang on in There Baby""","""johnny bristol""",TRUE,1,Polydor,1974-06-01,,1970s,FALSE
mocedades,1974,"""Eres tú""","""mocedades""",TRUE,1,Legacy Recordings,1973,,1970s,FALSE
bachman-turner overdrive,1974,"""Takin' Care of Business""","""bachman-turner overdrive""",TRUE,1,Mercury Records,1973-12-01,,1970s,FALSE
golden earring,1974,"""Radar Love""","""golden earring""",TRUE,2,Red Bullet,1970,,1970s,FALSE
dave loggins,1974,"""Please Come to Boston""","""dave loggins""",TRUE,1,SMSP,1974,,1970s,FALSE
wet willie,1974,"""Keep on Smilin'""","""wet willie""",TRUE,1,PCLC Capricorn,1974-01-01,,1970s,FALSE
bobby womack,1974,"""Lookin' for a Love""","""bobby womack""",TRUE,1,Geffen,1966-01-01,,1970s,FALSE
the o'jays,1974,"""Put Your Hands Together""","""the o'jays""",FALSE,6,Epic/Legacy,1973,,1970s,TRUE
gladys knight,1974,"""On and On""","[""gladys knight"",""the pips""]",FALSE,7,UNI/MOTOWN,1973,,1970s,TRUE
cat stevens,1974,"""Oh Very Young""","""cat stevens""",FALSE,3,Universal-Island Records Ltd.,1974-01-01,,1970s,FALSE
helen reddy,1974,"""Leave Me Alone (Ruby Red Dress)""","""helen reddy""",FALSE,7,Capitol Records,1973,,1970s,TRUE
elton john,1974,"""Goodbye Yellow Brick Road""","""elton john""",FALSE,28,UMC (Universal Music Catalogue),1970-04-10,,1970s,FALSE
chicago,1974,"""(I've Been) Searchin' So Long""","""chicago""",FALSE,15,Rhino,1970-01-26,,1970s,TRUE
ringo starr,1974,"""Oh My My""","""ringo starr""",FALSE,5,Parlophone,1973-01-01,,1970s,FALSE
the o'jays,1974,"""For the Love of Money""","""the o'jays""",FALSE,6,Epic/Legacy,1973,,1970s,TRUE
eric clapton,1974,"""I Shot the Sheriff""","""eric clapton""",TRUE,8,Polydor,1974-07-01,,1970s,FALSE
paul mccartney,1974,"""Jet""","[""paul mccartney"",""wings""]",FALSE,13,Paul McCartney Catalog,1973-12-05,,1970s,FALSE
elton john,1974,"""Don't Let the Sun Go Down on Me""","""elton john""",FALSE,28,EMI,1974-06-28,,1970s,FALSE
mike oldfield,1974,"""Tubular Bells""","""mike oldfield""",TRUE,1,UMC (Universal Music Catalogue),1973-02-01,,1970s,FALSE
anne murray,1974,"""A Love Song""","""anne murray""",FALSE,8,EMI Music Canada,1973,,1970s,FALSE
donny,1974,"""I'm Leaving It (All) Up to You""","[""donny"",""marie osmond""]",TRUE,3,Universal Records,1974-07-06,,1970s,FALSE
todd rundgren,1974,"""Hello It's Me""","""todd rundgren""",FALSE,2,Rhino,1972,,1970s,TRUE
tom t. hall,1974,"""I Love""","""tom t. hall""",TRUE,1,Mercury Nashville,1995-09-01,,1970s,FALSE
the guess who,1974,"""Clap for the Wolfman""","[""the guess who"",""wolfman jack""]",FALSE,3,RCA/Legacy,1974-04-01,,1970s,TRUE
jim croce,1974,"""I'll Have to Say I Love You in a Song""","""jim croce""",FALSE,4,Croce Music Publishing,1966-01-01,,1970s,FALSE
sister janet mead,1974,"""The Lord's Prayer""","""sister janet mead""",TRUE,1,Southern Cross Music Pty Limited,1967-07-31,,1970s,FALSE
lamont dozier,1974,"""Trying to Hold on to My Woman""","""lamont dozier""",TRUE,1,UMC-Decca,1967-01-01,,1970s,FALSE
stevie wonder,1974,"""Don't You Worry 'bout a Thing""","""stevie wonder""",FALSE,18,Motown,1973-08-03,,1970s,FALSE
charlie rich,1974,"""A Very Special Love Song""","""charlie rich""",FALSE,3,Capitol Records,1958,,1970s,TRUE
jim stafford,1974,"""My Girl Bill""","""jim stafford""",FALSE,3,Mercury Nashville,1974-01-01,,1970s,FALSE
paul mccartney,1974,"""Helen Wheels""","[""paul mccartney"",""wings""]",FALSE,13,Paul McCartney Catalog,1973-12-05,,1970s,FALSE
diana ross,1974,"""My Mistake (Was to Love You)""","[""diana ross"",""marvin gaye""]",FALSE,13,UNI/MOTOWN,1973-10-26,,1970s,TRUE
jim stafford,1974,"""Wildwood Weed""","""jim stafford""",FALSE,3,Mercury Nashville,1974-01-01,,1970s,FALSE
the first class,1974,"""Beach Baby""","""the first class""",TRUE,1,Revvolution Music,2009-05-18,,1970s,FALSE
war,1974,"""Me and Baby Brother""","""war""",FALSE,7,Avenue Records,1973-08-01,,1970s,FALSE
the stylistics,1974,"""Rockin' Roll Baby""","""the stylistics""",FALSE,4,AVCO Records Corp.,1973-10-23,,1970s,FALSE
olivia newton-john,1974,"""I Honestly Love You""","""olivia newton-john""",FALSE,13,Primary Wave Music,1974-05-01,,1970s,FALSE
chicago,1974,"""Call on Me""","""chicago""",FALSE,15,Rhino,1974-03-11,,1970s,TRUE
fancy,1974,"""Wild Thing""","""fancy""",TRUE,1,Cherry Red Records,1974-01-01,,1970s,FALSE
the spinners,1974,"""Mighty Love""","""the spinners""",FALSE,7,Rhino Atlantic,1974,,1970s,TRUE
captain,1975,"""Love Will Keep Us Together""","[""captain"",""tennille""]",TRUE,5,A&M,1975-01-01,,1970s,FALSE
glen campbell,1975,"""Rhinestone Cowboy""","""glen campbell""",FALSE,4,CMCapNash (N91),1975,,1970s,FALSE
elton john,1975,"""Philadelphia Freedom""","""elton john""",FALSE,28,EMI,1975-05-19,,1970s,FALSE
freddy fender,1975,"""Before the Next Teardrop Falls""","""freddy fender""",TRUE,2,Geffen,1975,,1970s,FALSE
frankie valli,1975,"""My Eyes Adored You""","""frankie valli""",TRUE,3,Rhino,1975,,1970s,TRUE
grand funk railroad,1975,"""Some Kind of Wonderful""","""grand funk railroad""",FALSE,3,Capitol Records,1971,,1970s,TRUE
earth,1975,"""Shining Star""","[""earth"",""wind"",""fire""]",TRUE,10,Columbia,1975-03-15,,1970s,FALSE
david bowie,1975,"""Fame""","""david bowie""",FALSE,5,Parlophone UK,1975-03-07,,1970s,FALSE
neil sedaka,1975,"""Laughter in the Rain""","""neil sedaka""",TRUE,3,RCA Victor/Legacy,1960-12-30,,1970s,TRUE
eagles,1975,"""One of These Nights""","""eagles""",TRUE,8,Rhino/Elektra,1975-06-10,,1970s,TRUE
john denver,1975,"""Thank God I'm a Country Boy""","""john denver""",FALSE,6,RCA/Legacy,1974-06-15,,1970s,TRUE
bee gees,1975,"""Jive Talkin'""","""bee gees""",FALSE,12,Bee Gees Catalog,1975-06-01,,1970s,FALSE
eagles,1975,"""Best of My Love""","""eagles""",FALSE,8,Rhino/Elektra,1973-04-17,,1970s,TRUE
minnie riperton,1975,"""Lovin' You""","""minnie riperton""",TRUE,1,Capitol Records,1974,,1970s,TRUE
carl douglas,1975,"""Kung Fu Fighting""","""carl douglas""",TRUE,1,Sanctuary Records,1974-01-01,,1970s,FALSE
the doobie brothers,1975,"""Black Water""","""the doobie brothers""",FALSE,3,Rhino/Warner Records,1970,,1970s,TRUE
sweet,1975,"""The Ballroom Blitz""","""sweet""",FALSE,4,Capitol Records,1974-11,,1970s,TRUE
b.j. thomas,1975,"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song""","""b.j. thomas""",FALSE,4,Gusto Records,1968,,1970s,FALSE
tony orlando,1975,"""He Don't Love You (Like I Love You)""","[""tony orlando"",""dawn""]",FALSE,4,Rhino/Elektra,1975,,1970s,TRUE
janis ian,1975,"""At Seventeen""","""janis ian""",TRUE,1,Columbia/Legacy,1975-03-01,,1970s,TRUE
average white band,1975,"""Pick Up the Pieces""","""average white band""",TRUE,2,Rhino Atlantic,1974,,1970s,TRUE
van mccoy,1975,"""The Hustle""","[""van mccoy"",""the soul city symphony""]",TRUE,1,AVCO Records Corp.,1975-01-01,,1970s,FALSE
labelle,1975,"""Lady Marmalade""","""labelle""",TRUE,1,Epic,1974-09-13,,1970s,FALSE
war,1975,"""Why Can't We Be Friends?""","""war""",FALSE,7,Avenue Records,1975-01-01,,1970s,FALSE
major harris,1975,"""Love Won't Let Me Wait""","""major harris""",TRUE,1,Rhino Atlantic,1974,,1970s,TRUE
stevie wonder,1975,"""Boogie On Reggae Woman""","""stevie wonder""",FALSE,18,Motown,1974-07-22,,1970s,FALSE
freddy fender,1975,"""Wasted Days and Wasted Nights""","""freddy fender""",FALSE,2,Geffen,1975,,1970s,FALSE
helen reddy,1975,"""Angie Baby""","""helen reddy""",FALSE,7,Capitol Records,1974,,1970s,TRUE
the isley brothers,1975,"""Fight the Power""","""the isley brothers""",FALSE,4,Epic/Legacy,1975-08-21,,1970s,TRUE
ozark mountain daredevils,1975,"""Jackie Blue""","""ozark mountain daredevils""",TRUE,1,A&M,1974,,1970s,FALSE
ohio players,1975,"""Fire""","""ohio players""",FALSE,4,Mercury Records,1974-06-01,,1970s,FALSE
pilot,1975,"""Magic""","""pilot""",TRUE,1,Parlophone UK,1974-01-01,,1970s,FALSE
the carpenters,1975,"""Please Mr. Postman""","""the carpenters""",FALSE,11,UNI/MOTOWN,1961,,1970s,TRUE
america,1975,"""Sister Golden Hair""","""america""",FALSE,4,Rhino,1975,,1970s,TRUE
elton john,1975,"""Lucy in the Sky with Diamonds""","""elton john""",FALSE,28,EMI Catalogue,1967-06-01,,1970s,FALSE
barry manilow,1975,"""Mandy""","""barry manilow""",TRUE,11,Arista/Legacy,1974,,1970s,TRUE
olivia newton-john,1975,"""Have You Never Been Mellow""","""olivia newton-john""",FALSE,13,Three Dog Night,1971,,1970s,FALSE
barry manilow,1975,"""Could It Be Magic""","""barry manilow""",FALSE,11,Arista/Legacy,1973,,1970s,TRUE
harry chapin,1975,"""Cat's in the Cradle""","""harry chapin""",FALSE,2,Rhino/Elektra,1974,,1970s,TRUE
michael martin murphey,1975,"""Wildfire""","""michael martin murphey""",TRUE,1,Rhino/Elektra,1969,,1970s,TRUE
jessi colter,1975,"""I'm Not Lisa""","""jessi colter""",TRUE,1,EMI Music Nashville (ERN),1975-01-01,,1970s,FALSE
wings,1975,"""Listen to What the Man Said""","""wings""",TRUE,5,Paul McCartney Catalog,1975-05-27,,1970s,FALSE
10cc,1975,"""I'm Not in Love""","""10cc""",TRUE,2,EMI,1975,,1970s,FALSE
billy swan,1975,"""I Can Help""","""billy swan""",TRUE,1,Monument/Legacy,1974-08-01,,1970s,TRUE
hamilton,1975,"""Fallin' in Love""","[""hamilton"",""joe frank"",""reynolds""]",FALSE,2,RKO Music,2013-03-31,,1970s,FALSE
morris albert,1975,"""Feelings""","""morris albert""",TRUE,1,United Music Group,1992-01-01,,1970s,FALSE
linda ronstadt,1975,"""When Will I Be Loved""","""linda ronstadt""",TRUE,9,KP&P - Celluloid N.Y,1970-06-01,,1970s,FALSE
sammy johns,1975,"""Chevy Van""","""sammy johns""",TRUE,1,GRC,1973,,1970s,FALSE
barry white,1975,"""You're the First, the Last, My Everything""","""barry white""",FALSE,3,Mercury Records,1974-02-15,,1970s,FALSE
olivia newton-john,1975,"""Please Mr. Please""","""olivia newton-john""",FALSE,13,Parlophone UK,1975,,1970s,FALSE
linda ronstadt,1975,"""You're No Good""","""linda ronstadt""",FALSE,9,Capitol Records,1974,,1970s,TRUE
bazuka,1975,"""Dynomite""","""bazuka""",TRUE,1,Debutante Ltd.,2001-01-01,,1970s,FALSE
the blackbyrds,1975,"""Walking in Rhythm""","""the blackbyrds""",TRUE,1,Fantasy,1974-11-01,,1970s,FALSE
gladys knight,1975,"""The Way We Were/Try to Remember""","[""gladys knight"",""the pips""]",FALSE,7,Legacy Recordings,1974,,1970s,FALSE
melissa manchester,1975,"""Midnight Blue""","""melissa manchester""",TRUE,3,Buddha Records,1975,,1970s,FALSE
sugarloaf,1975,"""Don't Call Us, We'll Call You""","""sugarloaf""",FALSE,2,Renaissance Records,1976-04-21,,1970s,FALSE
phoebe snow,1975,"""Poetry Man""","""phoebe snow""",TRUE,1,The Right Stuff,1974,,1970s,FALSE
ace,1975,"""How Long?""","""ace""",TRUE,1,Cavalcade Records Ltd,1974-01-01,,1970s,FALSE
b.t. express,1975,"""Express""","""b.t. express""",TRUE,2,Rhino/Warner Records,1970,,1970s,TRUE
earth,1975,"""That's the Way of the World""","[""earth"",""wind"",""fire""]",FALSE,10,Columbia,1975-03-15,,1970s,FALSE
styx,1975,"""Lady""","""styx""",TRUE,9,Universal Music Enterprises,1973,,1970s,FALSE
grand funk,1975,"""Bad Time""","""grand funk""",TRUE,1,Capitol Records,1974-12-01,,1970s,TRUE
alice cooper,1975,"""Only Women Bleed""","""alice cooper""",FALSE,6,Atlantic Records,1975-03-11,,1970s,TRUE
carol douglas,1975,"""Doctor's Orders""","""carol douglas""",TRUE,1,UNIDISC MUSIC INC.,1975-01-01,,1970s,FALSE
kc and the sunshine band,1975,"""Get Down Tonight""","""kc and the sunshine band""",TRUE,7,Rhino,1975,,1970s,TRUE
paul anka,1975,"""One Man Woman/One Woman Man""","[""paul anka"",""odia coates""]",FALSE,4,Green Hill Productions,1959-01-02,,1970s,FALSE
joe cocker,1975,"""You Are So Beautiful""","""joe cocker""",FALSE,3,Hollywood Records,1974-01-01,,1970s,FALSE
bad company,1975,"""Feel Like Makin' Love""","""bad company""",TRUE,2,Rhino Atlantic,1975,,1970s,TRUE
james taylor,1975,"""How Sweet It Is (To Be Loved by You)""","""james taylor""",FALSE,4,Rhino/Warner Records,1975-05-01,,1970s,TRUE
orleans,1975,"""Dance with Me""","""orleans""",TRUE,2,Island Mercury,1991-01-01,,1970s,FALSE
average white band,1975,"""Cut the Cake""","""average white band""",FALSE,2,Rhino Atlantic,1975-06-24,,1970s,TRUE
gloria gaynor,1975,"""Never Can Say Goodbye""","""gloria gaynor""",TRUE,2,Polydor,1975-01-23,,1970s,FALSE
paul anka,1975,"""I Don't Like to Sleep Alone""","[""paul anka"",""odia coates""]",FALSE,4,Green Hill Productions,1959-01-02,,1970s,FALSE
donny,1975,"""Morning Side of the Mountain""","[""donny"",""marie osmond""]",FALSE,3,Universal Records,1974-07-06,,1970s,FALSE
the three degrees,1975,"""When Will I See You Again""","""the three degrees""",TRUE,1,Legacy Recordings,1973,,1970s,FALSE
joe simon,1975,"""Get Down, Get Down (Get on the Floor)""","""joe simon""",FALSE,3,Island Def Jam,1981,,1970s,FALSE
john denver,1975,"""I'm Sorry""","""john denver""",FALSE,6,RCA/Legacy,1974-06-15,,1970s,TRUE
queen,1975,"""Killer Queen""","""queen""",TRUE,8,Hollywood Records,1974-11-08,,1970s,FALSE
eddie kendricks,1975,"""Shoeshine Boy""","""eddie kendricks""",FALSE,3,UNI/MOTOWN,1974-12-01,,1970s,TRUE
b.t. express,1975,"""Do It ('Til You're Satisfied)""","""b.t. express""",FALSE,2,Roadshow Records,1974,,1970s,FALSE
electric light orchestra,1975,"""Can't Get It Out of My Head""","""electric light orchestra""",TRUE,9,Epic/Legacy,1974-09-01,,1970s,TRUE
al green,1975,"""Sha-La-La (Make Me Happy)""","""al green""",FALSE,6,Fat Possum,1974-10-02,,1970s,FALSE
america,1975,"""Lonely People""","""america""",FALSE,4,Rhino/Warner Records,1974,,1970s,TRUE
rufus,1975,"""You Got the Love""","""rufus""",FALSE,3,Geffen*,1974-01-01,,1970s,FALSE
mike post,1975,"""The Rockford Files Theme""","""mike post""",TRUE,1,Villain Entertainment,1996-04-09,,1970s,FALSE
tavares,1975,"""It Only Takes a Minute""","""tavares""",TRUE,2,CAPITOL CATALOG MKT (C92),1975-07-05,,1970s,FALSE
ringo starr,1975,"""No No Song""","""ringo starr""",FALSE,5,Parlophone,1974,,1970s,FALSE
paul mccartney,1975,"""Junior's Farm""","[""paul mccartney"",""wings""]",FALSE,13,Paul McCartney Catalog,1975-05-27,,1970s,FALSE
jethro tull,1975,"""Bungle in the Jungle""","""jethro tull""",TRUE,1,Parlophone UK,1969-08-01,,1970s,FALSE
leo sayer,1975,"""Long Tall Glasses (I Can Dance)""","""leo sayer""",TRUE,5,Rhino,1974,,1970s,TRUE
ray stevens,1975,"""Misty""","""ray stevens""",FALSE,3,Verve,1955-01-01,,1970s,FALSE
elton john,1975,"""Someone Saved My Life Tonight""","""elton john""",FALSE,28,EMI,1975-05-19,,1970s,FALSE
neil sedaka,1975,"""Bad Blood""","""neil sedaka""",FALSE,3,Frank Zappa Catalog,1972-03-26,,1970s,FALSE
the carpenters,1975,"""Only Yesterday""","""the carpenters""",FALSE,11,A&M,1973-05-01,,1970s,FALSE
dwight twilley band,1975,"""I'm on Fire""","""dwight twilley band""",TRUE,1,Columbia,1984-06-04,,1970s,FALSE
ringo starr,1975,"""Only You (And You Alone)""","""ringo starr""",FALSE,5,Parlophone,1974,,1970s,FALSE
amazing rhythm aces,1975,"""Third Rate Romance""","""amazing rhythm aces""",TRUE,1,Legacy Recordings,1975,,1970s,FALSE
bachman–turner overdrive,1975,"""You Ain't Seen Nothing Yet""","""bachman–turner overdrive""",TRUE,1,EMI,1974,,1970s,FALSE
frankie valli,1975,"""Swearin' to God""","""frankie valli""",FALSE,3,Rhino,1975,,1970s,TRUE
disco-tex and the sex-o-lettes,1975,"""Get Dancin'""","""disco-tex and the sex-o-lettes""",TRUE,1,Rhino,1975,,1970s,TRUE
wings,1976,"""Silly Love Songs""","""wings""",FALSE,5,Paul McCartney Catalog,1976-03-25,,1970s,FALSE
elton john,1976,"""Don't Go Breaking My Heart""","[""elton john"",""kiki dee""]",FALSE,28,EMI,1975-10-24,,1970s,FALSE
johnnie taylor,1976,"""Disco Lady""","""johnnie taylor""",FALSE,2,Columbia/Legacy,1976,,1970s,TRUE
the four seasons,1976,"""December, 1963 (Oh, What a Night)""","""the four seasons""",TRUE,2,Rhino,1975,,1970s,TRUE
wild cherry,1976,"""Play That Funky Music""","""wild cherry""",TRUE,1,Epic,1976,,1970s,FALSE
the manhattans,1976,"""Kiss and Say Goodbye""","""the manhattans""",TRUE,2,Columbia/Legacy,1976,,1970s,TRUE
the miracles,1976,"""Love Machine""","""the miracles""",TRUE,1,Hip-O Select,1975,,1970s,FALSE
paul simon,1976,"""50 Ways to Leave Your Lover""","""paul simon""",FALSE,5,Legacy Recordings,1975-10-25,,1970s,FALSE
gary wright,1976,"""Love Is Alive""","""gary wright""",TRUE,3,Rhino/Warner Records,1975,,1970s,TRUE
walter murphy,1976,"""A Fifth of Beethoven""","[""walter murphy"",""the big apple band""]",TRUE,1,Private Stock Records,1976-10-31,,1970s,FALSE
hall,1976,"""Sara Smile""","[""hall"",""oates""]",TRUE,3,Buddha Records,1975,,1970s,FALSE
starland vocal band,1976,"""Afternoon Delight""","""starland vocal band""",TRUE,1,Primary Wave Music,1976-07-31,,1970s,FALSE
barry manilow,1976,"""I Write the Songs""","""barry manilow""",FALSE,11,Arista/Legacy,1975,,1970s,TRUE
silver convention,1976,"""Fly, Robin, Fly""","""silver convention""",TRUE,2,Butterfly Productions,1975,,1970s,FALSE
diana ross,1976,"""Love Hangover""","""diana ross""",FALSE,13,UNI/MOTOWN,1976-02-10,,1970s,TRUE
seals,1976,"""Get Closer""","[""seals"",""crofts""]",FALSE,2,Rhino/Warner Records,1976,,1970s,TRUE
andrea true connection,1976,"""More, More, More""","""andrea true connection""",TRUE,1,Legacy Recordings,1976,,1970s,FALSE
queen,1976,"""Bohemian Rhapsody""","""queen""",FALSE,8,Hollywood Records,1975-11-21,,1970s,FALSE
dorothy moore,1976,"""Misty Blue""","""dorothy moore""",TRUE,1,RCA/Legacy,1971,,1970s,TRUE
the sylvers,1976,"""Boogie Fever""","""the sylvers""",TRUE,3,CAPITOL CATALOG MKT (C92),1975-08-20,,1970s,FALSE
england dan,1976,"""I'd Really Love to See You Tonight""","[""england dan"",""john ford coley""]",TRUE,2,Rhino Atlantic,1976-07,,1970s,TRUE
hot chocolate,1976,"""You Sexy Thing""","""hot chocolate""",TRUE,2,Parlophone UK,1975,,1970s,FALSE
nazareth,1976,"""Love Hurts""","""nazareth""",TRUE,1,A&M,1975-01-01,,1970s,FALSE
silver convention,1976,"""Get Up and Boogie""","""silver convention""",FALSE,2,Butterfly Productions,1976,,1970s,FALSE
eagles,1976,"""Take It to the Limit""","""eagles""",FALSE,8,Rhino/Elektra,1973-04-17,,1970s,TRUE
kc and the sunshine band,1976,"""(Shake, Shake, Shake) Shake Your Booty""","""kc and the sunshine band""",FALSE,7,Rhino,1975,,1970s,TRUE
commodores,1976,"""Sweet Love""","""commodores""",TRUE,8,UNI/MOTOWN,1975-01-01,,1970s,TRUE
maxine nightingale,1976,"""Right Back Where We Started From""","""maxine nightingale""",TRUE,2,Hypnotic,2008-01-01,,1970s,FALSE
rhythm heritage,1976,"""Theme from S.W.A.T.""","""rhythm heritage""",TRUE,1,Stax,1971,,1970s,FALSE
ohio players,1976,"""Love Rollercoaster""","""ohio players""",FALSE,4,Mercury Records,1975-08-16,,1970s,FALSE
bee gees,1976,"""You Should Be Dancing""","""bee gees""",FALSE,12,Bee Gees Catalog,1976-01-01,,1970s,FALSE
lou rawls,1976,"""You'll Never Find Another Love Like Mine""","""lou rawls""",TRUE,1,Legacy Recordings,1976,,1970s,FALSE
david bowie,1976,"""Golden Years""","""david bowie""",FALSE,5,Parlophone UK,1976-01-23,,1970s,FALSE
starbuck,1976,"""Moonlight Feels Right""","""starbuck""",TRUE,1,Private Stock Records,1976-01-18,,1970s,FALSE
dr. hook,1976,"""Only Sixteen""","""dr. hook""",FALSE,8,Capitol Records,1975-01-01,,1970s,TRUE
the bellamy brothers,1976,"""Let Your Love Flow""","""the bellamy brothers""",TRUE,1,Curb Records,1976-07-01,,1970s,FALSE
gary wright,1976,"""Dream Weaver""","""gary wright""",FALSE,3,Rhino/Warner Records,1975,,1970s,TRUE
vicki sue robinson,1976,"""Turn the Beat Around""","""vicki sue robinson""",TRUE,1,RCA/Legacy,1976-02-01,,1970s,TRUE
captain,1976,"""Lonely Night (Angel Face)""","[""captain"",""tennille""]",FALSE,5,A&M,1976-01-01,,1970s,FALSE
eric carmen,1976,"""All by Myself""","""eric carmen""",TRUE,3,Capitol Records,1974-01-01,,1970s,TRUE
donna summer,1976,"""Love to Love You Baby""","""donna summer""",TRUE,11,Island Def Jam,1975-08-27,,1970s,FALSE
donny,1976,"""Deep Purple""","[""donny"",""marie osmond""]",FALSE,3,Universal Records,1976-12-02,,1970s,FALSE
diana ross,1976,"""Theme from Mahogany (Do You Know Where You're Going To)""","""diana ross""",FALSE,13,UNI/MOTOWN,1975-01-01,,1970s,TRUE
rufus,1976,"""Sweet Thing""","""rufus""",FALSE,3,Geffen*,1975-01-01,,1970s,FALSE
kc and the sunshine band,1976,"""That's the Way (I Like It)""","""kc and the sunshine band""",FALSE,7,Rhino,1975,,1970s,TRUE
dr. hook,1976,"""A Little Bit More""","""dr. hook""",FALSE,8,Capitol Records,1975-01-01,,1970s,TRUE
henry gross,1976,"""Shannon""","""henry gross""",TRUE,1,Lifesong,1976-05-06,,1970s,FALSE
chicago,1976,"""If You Leave Me Now""","""chicago""",FALSE,15,Rhino,1976-06-14,,1970s,TRUE
boz scaggs,1976,"""Lowdown""","""boz scaggs""",TRUE,5,Columbia/Legacy,1976-02-18,,1970s,TRUE
peter frampton,1976,"""Show Me the Way""","""peter frampton""",TRUE,3,A&M,1975-01-01,,1970s,FALSE
aerosmith,1976,"""Dream On""","""aerosmith""",TRUE,12,Aerosmith P&D - Sony,1973-01-05,,1970s,FALSE
the o'jays,1976,"""I Love Music""","""the o'jays""",FALSE,6,HHO,1971,,1970s,FALSE
fleetwood mac,1976,"""Say You Love Me""","""fleetwood mac""",TRUE,10,Blue Horizon Records,1969-08-15,,1970s,FALSE
paul anka,1976,"""Times of Your Life""","""paul anka""",FALSE,4,Capitol Records,1975,,1970s,TRUE
cliff richard,1976,"""Devil Woman""","""cliff richard""",TRUE,3,Parlophone UK,1976,,1970s,FALSE
elvin bishop,1976,"""Fooled Around and Fell in Love""","""elvin bishop""",TRUE,1,Island Records,1975-01-01,,1970s,TRUE
c. w. mccall,1976,"""Convoy""","""c. w. mccall""",TRUE,1,FRONTLINE CATALOG (P81),1988-09-13,,1970s,FALSE
john sebastian,1976,"""Welcome Back""","""john sebastian""",TRUE,1,Columbia Nashville Legacy,1969-06-04,,1970s,FALSE
earth,1976,"""Sing a Song""","[""earth"",""wind"",""fire""]",FALSE,10,Columbia/Legacy,1975-11-11,,1970s,TRUE
tavares,1976,"""Heaven Must Be Missing an Angel""","""tavares""",FALSE,2,Capitol Records,1976-05-01,,1970s,TRUE
the brothers johnson,1976,"""I'll Be Good to You""","""the brothers johnson""",TRUE,3,A&M,1976-01-01,,1970s,FALSE
the beach boys,1976,"""Rock and Roll Music""","""the beach boys""",TRUE,3,Capitol Records,2003-01-01,,1970s,TRUE
captain,1976,"""Shop Around""","[""captain"",""tennille""]",FALSE,5,UNI/MOTOWN,1965-01-01,,1970s,TRUE
bay city rollers,1976,"""Saturday Night""","""bay city rollers""",TRUE,3,Arista,1974,,1970s,FALSE
elton john,1976,"""Island Girl""","""elton john""",FALSE,28,Frank Zappa Catalog,1971-08-02,,1970s,FALSE
the staple singers,1976,"""Let's Do It Again""","""the staple singers""",FALSE,2,Rhino,1975-10-11,,1970s,TRUE
wings,1976,"""Let 'Em In""","""wings""",FALSE,5,Paul McCartney Catalog,1976-03-25,,1970s,FALSE
wing,1976,"""Baby Face""","[""wing"",""a prayer fife"",""drum corps""]",TRUE,1,Paul McCartney Catalog,1975-05-27,,1970s,FALSE
george benson,1976,"""This Masquerade""","""george benson""",TRUE,4,Rhino/Warner Records,1976,,1970s,TRUE
